frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
20000000.0,-109.46239292621613,-109.46239292621613,250.53760707378387
20010000.0,-109.51177775859833,-109.51177775859833,-109.51177775859833
20020000.0,-109.56058323383331,-109.56058323383331,-109.56058323383331
20030000.0,-109.61132794618607,-109.61132794618607,-109.61132794618607
20040000.0,-109.66444104909897,-109.66444104909897,-109.66444104909897
20050000.0,-109.71719205379486,-109.71719205379486,250.28280794620514
20060000.0,-109.769267141819,-109.769267141819,-109.769267141819
20070000.0,-109.82294619083405,-109.82294619083405,-109.82294619083405
20080000.0,-109.87458944320679,-109.87458944320679,-109.87458944320679
20090000.0,-109.92703199386597,-109.92703199386597,250.07296800613403
20100000.0,-109.97828900814056,-109.97828900814056,-109.97828900814056
20110000.0,-110.03136187791824,-110.03136187791824,-110.03136187791824
20120000.0,-110.08581876754761,-110.08581876754761,-110.08581876754761
20130000.0,-110.1384437084198,-110.1384437084198,-110.1384437084198
20140000.0,-110.19141465425491,-110.19141465425491,-110.19141465425491
20150000.0,-110.24375796318054,-110.24375796318054,249.75624203681946
20160000.0,-110.29615759849548,-110.29615759849548,-110.29615759849548
20170000.0,-110.34894615411758,-110.34894615411758,249.65105384588242
20180000.0,-110.40013074874878,-110.40013074874878,-110.40013074874878
20190000.0,-110.45306950807571,-110.45306950807571,-110.45306950807571
20200000.0,-110.5058366060257,-110.5058366060257,249.4941633939743
20210000.0,-110.55776685476303,-110.55776685476303,-110.55776685476303
20220000.0,-110.60957103967667,-110.60957103967667,249.39042896032333
20230000.0,-110.66190898418427,-110.66190898418427,-110.66190898418427
20240000.0,-110.71360319852829,-110.71360319852829,-110.71360319852829
20250000.0,-110.76894789934158,-110.76894789934158,-110.76894789934158
20260000.0,-110.82140386104584,-110.82140386104584,249.17859613895416
20270000.0,-110.87237656116486,-110.87237656116486,249.12762343883514
20280000.0,-110.92746376991272,-110.92746376991272,249.07253623008728
20290000.0,-110.97989290952682,-110.97989290952682,-110.97989290952682
20300000.0,-111.03366583585739,-111.03366583585739,-111.03366583585739
20310000.0,-111.08622640371323,-111.08622640371323,-111.08622640371323
20320000.0,-111.13958358764648,-111.13958358764648,-111.13958358764648
20330000.0,-111.19074404239655,-111.19074404239655,248.80925595760345
20340000.0,-111.24633550643921,-111.24633550643921,-111.24633550643921
20350000.0,-111.29896581172943,-111.29896581172943,248.70103418827057
20360000.0,-111.35072976350784,-111.35072976350784,248.64927023649216
20370000.0,-111.40254199504852,-111.40254199504852,-111.40254199504852
20380000.0,-111.45552635192871,-111.45552635192871,248.5444736480713
20390000.0,-111.50816738605499,-111.50816738605499,248.491832613945
20400000.0,-111.55958533287048,-111.55958533287048,248.44041466712952
20410000.0,-111.61421924829483,-111.61421924829483,-111.61421924829483
20420000.0,-111.66754424571991,-111.66754424571991,248.3324557542801
20430000.0,-111.72068685293198,-111.72068685293198,248.27931314706802
20440000.0,-111.77396357059479,-111.77396357059479,-111.77396357059479
20450000.0,-111.82615399360657,-111.82615399360657,-111.82615399360657
20460000.0,-111.87867164611816,-111.87867164611816,-111.87867164611816
20470000.0,-111.93167746067047,-111.93167746067047,-111.93167746067047
20480000.0,-111.98476374149323,-111.98476374149323,-111.98476374149323
20490000.0,-112.0370802283287,-112.0370802283287,-112.0370802283287
20500000.0,-112.08860278129578,-112.08860278129578,-112.08860278129578
20510000.0,-112.14216113090515,-112.14216113090515,-112.14216113090515
20520000.0,-112.19541102647781,-112.19541102647781,-112.19541102647781
20530000.0,-112.24785625934601,-112.24785625934601,-112.24785625934601
20540000.0,-112.30148434638977,-112.30148434638977,-112.30148434638977
20550000.0,-112.35355138778687,-112.35355138778687,-112.35355138778687
20560000.0,-112.40586519241333,-112.40586519241333,-112.40586519241333
20570000.0,-112.45901048183441,-112.45901048183441,-112.45901048183441
20580000.0,-112.51097291707993,-112.51097291707993,-112.51097291707993
20590000.0,-112.5633242726326,-112.5633242726326,-112.5633242726326
20600000.0,-112.616346180439,-112.616346180439,-112.616346180439
20610000.0,-112.66886919736862,-112.66886919736862,-112.66886919736862
20620000.0,-112.72205471992493,-112.72205471992493,247.27794528007507
20630000.0,-112.77535825967789,-112.77535825967789,-112.77535825967789
20640000.0,-112.82751649618149,-112.82751649618149,247.1724835038185
20650000.0,-112.87920534610748,-112.87920534610748,247.12079465389252
20660000.0,-112.93258398771286,-112.93258398771286,-112.93258398771286
20670000.0,-112.98622816801071,-112.98622816801071,-112.98622816801071
20680000.0,-113.03890943527222,-113.03890943527222,246.96109056472778
20690000.0,-113.092360496521,-113.092360496521,-113.092360496521
20700000.0,-113.14528048038483,-113.14528048038483,-113.14528048038483
20710000.0,-113.19837749004364,-113.19837749004364,-113.19837749004364
20720000.0,-113.24975520372391,-113.24975520372391,-113.24975520372391
20730000.0,-113.30408334732056,-113.30408334732056,-113.30408334732056
20740000.0,-113.356574177742,-113.356574177742,-113.356574177742
20750000.0,-113.40857416391373,-113.40857416391373,-113.40857416391373
20760000.0,-113.4608182311058,-113.4608182311058,246.5391817688942
20770000.0,-113.5140198469162,-113.5140198469162,-113.5140198469162
20780000.0,-113.56566309928894,-113.56566309928894,246.43433690071106
20790000.0,-113.61895054578781,-113.61895054578781,-113.61895054578781
20800000.0,-113.67327600717545,-113.67327600717545,246.32672399282455
20810000.0,-113.72617721557617,-113.72617721557617,-113.72617721557617
20820000.0,-113.77823084592819,-113.77823084592819,-113.77823084592819
20830000.0,-113.83100599050522,-113.83100599050522,-113.83100599050522
20840000.0,-113.88491570949554,-113.88491570949554,246.11508429050446
20850000.0,-113.93579989671707,-113.93579989671707,246.06420010328293
20860000.0,-113.98813515901566,-113.98813515901566,-113.98813515901566
20870000.0,-114.04031217098236,-114.04031217098236,-114.04031217098236
20880000.0,-114.09386247396469,-114.09386247396469,-114.09386247396469
20890000.0,-114.14579004049301,-114.14579004049301,245.854209959507
20900000.0,-114.19905334711075,-114.19905334711075,245.80094665288925
20910000.0,-114.25186067819595,-114.25186067819595,245.74813932180405
20920000.0,-114.30509448051453,-114.30509448051453,245.69490551948547
20930000.0,-114.35706496238708,-114.35706496238708,-114.35706496238708
20940000.0,-114.41013514995575,-114.41013514995575,-114.41013514995575
20950000.0,-114.46182399988174,-114.46182399988174,-114.46182399988174
20960000.0,-114.51608508825302,-114.51608508825302,-114.51608508825302
20970000.0,-114.56749230623245,-114.56749230623245,245.43250769376755
