frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
20000000.0,-109.47863101959229,-109.47863101959229,-109.47863101959229
20010000.0,-109.53281432390213,-109.53281432390213,-109.53281432390213
20020000.0,-109.58412230014801,-109.58412230014801,-109.58412230014801
20030000.0,-109.63822513818741,-109.63822513818741,-109.63822513818741
20040000.0,-109.68899130821228,-109.68899130821228,-109.68899130821228
20050000.0,-109.7414955496788,-109.7414955496788,250.2585044503212
20060000.0,-109.79548305273056,-109.79548305273056,-109.79548305273056
20070000.0,-109.8482608795166,-109.8482608795166,250.1517391204834
20080000.0,-109.9005076289177,-109.9005076289177,-109.9005076289177
20090000.0,-109.95248883962631,-109.95248883962631,-109.95248883962631
20100000.0,-110.00511109828949,-110.00511109828949,-110.00511109828949
20110000.0,-110.0570198893547,-110.0570198893547,249.9429801106453
20120000.0,-110.11104226112366,-110.11104226112366,-110.11104226112366
20130000.0,-110.16527116298676,-110.16527116298676,-110.16527116298676
20140000.0,-110.21861761808395,-110.21861761808395,-110.21861761808395
20150000.0,-110.27036279439926,-110.27036279439926,249.72963720560074
20160000.0,-110.3256967663765,-110.3256967663765,-110.3256967663765
20170000.0,-110.37760823965073,-110.37760823965073,249.62239176034927
20180000.0,-110.42899936437607,-110.42899936437607,249.57100063562393
20190000.0,-110.48176109790802,-110.48176109790802,249.51823890209198
20200000.0,-110.53409904241562,-110.53409904241562,-110.53409904241562
20210000.0,-110.58643966913223,-110.58643966913223,-110.58643966913223
20220000.0,-110.63939183950424,-110.63939183950424,-110.63939183950424
20230000.0,-110.69253444671631,-110.69253444671631,249.3074655532837
20240000.0,-110.7467070221901,-110.7467070221901,-110.7467070221901
20250000.0,-110.7987231016159,-110.7987231016159,249.2012768983841
20260000.0,-110.85095643997192,-110.85095643997192,-110.85095643997192
20270000.0,-110.90448528528214,-110.90448528528214,-110.90448528528214
20280000.0,-110.95647990703583,-110.95647990703583,-110.95647990703583
20290000.0,-111.00909411907196,-111.00909411907196,-111.00909411907196
20300000.0,-111.05990588665009,-111.05990588665009,248.94009411334991
20310000.0,-111.11449956893921,-111.11449956893921,-111.11449956893921
20320000.0,-111.16596579551697,-111.16596579551697,248.83403420448303
20330000.0,-111.22015714645386,-111.22015714645386,248.77984285354614
20340000.0,-111.27357870340347,-111.27357870340347,248.72642129659653
20350000.0,-111.32555454969406,-111.32555454969406,248.67444545030594
20360000.0,-111.37900561094284,-111.37900561094284,-111.37900561094284
20370000.0,-111.431625187397,-111.431625187397,-111.431625187397
20380000.0,-111.48388534784317,-111.48388534784317,-111.48388534784317
20390000.0,-111.53693407773972,-111.53693407773972,-111.53693407773972
20400000.0,-111.5891084074974,-111.5891084074974,-111.5891084074974
20410000.0,-111.64176017045975,-111.64176017045975,-111.64176017045975
20420000.0,-111.69294476509094,-111.69294476509094,-111.69294476509094
20430000.0,-111.74564749002457,-111.74564749002457,-111.74564749002457
20440000.0,-111.79976105690002,-111.79976105690002,-111.79976105690002
20450000.0,-111.85272663831711,-111.85272663831711,-111.85272663831711
20460000.0,-111.90771728754044,-111.90771728754044,248.09228271245956
20470000.0,-111.96014374494553,-111.96014374494553,-111.96014374494553
20480000.0,-112.01241731643677,-112.01241731643677,-112.01241731643677
20490000.0,-112.06563502550125,-112.06563502550125,247.93436497449875
20500000.0,-112.11778789758682,-112.11778789758682,247.88221210241318
20510000.0,-112.17002391815186,-112.17002391815186,247.82997608184814
20520000.0,-112.22300559282303,-112.22300559282303,-112.22300559282303
20530000.0,-112.27538913488388,-112.27538913488388,-112.27538913488388
20540000.0,-112.3275500535965,-112.3275500535965,-112.3275500535965
20550000.0,-112.37963318824768,-112.37963318824768,247.62036681175232
20560000.0,-112.43371456861496,-112.43371456861496,-112.43371456861496
20570000.0,-112.48738288879395,-112.48738288879395,-112.48738288879395
20580000.0,-112.5389376282692,-112.5389376282692,-112.5389376282692
20590000.0,-112.5891861319542,-112.5891861319542,-112.5891861319542
20600000.0,-112.64447182416916,-112.64447182416916,-112.64447182416916
20610000.0,-112.69659250974655,-112.69659250974655,-112.69659250974655
20620000.0,-112.74980217218399,-112.74980217218399,247.250197827816
20630000.0,-112.8012603521347,-112.8012603521347,-112.8012603521347
20640000.0,-112.85490721464157,-112.85490721464157,-112.85490721464157
20650000.0,-112.90851652622223,-112.90851652622223,-112.90851652622223
20660000.0,-112.96162158250809,-112.96162158250809,-112.96162158250809
20670000.0,-113.01473736763,-113.01473736763,246.98526263237
20680000.0,-113.06790679693222,-113.06790679693222,-113.06790679693222
20690000.0,-113.1200248003006,-113.1200248003006,246.8799751996994
20700000.0,-113.17301452159882,-113.17301452159882,-113.17301452159882
20710000.0,-113.2257628440857,-113.2257628440857,246.7742371559143
20720000.0,-113.27960550785065,-113.27960550785065,-113.27960550785065
20730000.0,-113.33131313323975,-113.33131313323975,-113.33131313323975
20740000.0,-113.38482320308685,-113.38482320308685,-113.38482320308685
20750000.0,-113.43762785196304,-113.43762785196304,-113.43762785196304
20760000.0,-113.49014550447464,-113.49014550447464,-113.49014550447464
20770000.0,-113.54276776313782,-113.54276776313782,246.45723223686218
20780000.0,-113.59525859355927,-113.59525859355927,-113.59525859355927
20790000.0,-113.64836096763611,-113.64836096763611,-113.64836096763611
20800000.0,-113.70135605335236,-113.70135605335236,-113.70135605335236
20810000.0,-113.75312000513077,-113.75312000513077,246.24687999486923
20820000.0,-113.80530506372452,-113.80530506372452,-113.80530506372452
20830000.0,-113.857980966568,-113.857980966568,246.142019033432
20840000.0,-113.91008824110031,-113.91008824110031,-113.91008824110031
20850000.0,-113.96319329738617,-113.96319329738617,-113.96319329738617
20860000.0,-114.01689380407333,-114.01689380407333,-114.01689380407333
20870000.0,-114.07066404819489,-114.07066404819489,-114.07066404819489
20880000.0,-114.12186473608017,-114.12186473608017,-114.12186473608017
20890000.0,-114.1749107837677,-114.1749107837677,-114.1749107837677
20900000.0,-114.22779858112335,-114.22779858112335,-114.22779858112335
20910000.0,-114.28010433912277,-114.28010433912277,-114.28010433912277
20920000.0,-114.33366805315018,-114.33366805315018,245.66633194684982
20930000.0,-114.38740074634552,-114.38740074634552,-114.38740074634552
20940000.0,-114.439178109169,-114.439178109169,245.560821890831
20950000.0,-114.49177622795105,-114.49177622795105,-114.49177622795105
20960000.0,-114.54403907060623,-114.54403907060623,-114.54403907060623
20970000.0,-114.59598273038864,-114.59598273038864,-114.59598273038864
20980000.0,-114.64931577444077,-114.64931577444077,-114.64931577444077
20990000.0,-114.70194607973099,-114.70194607973099,245.298053920269
21000000.0,-114.75584238767624,-114.75584238767624,-114.75584238767624
