frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
20000000.0,-109.48521852493286,-109.48521852493286,250.51478147506714
20010000.0,-109.53644871711731,-109.53644871711731,-109.53644871711731
20020000.0,-109.58545535802841,-109.58545535802841,-109.58545535802841
20030000.0,-109.63918805122375,-109.63918805122375,-109.63918805122375
20040000.0,-109.6903458237648,-109.6903458237648,-109.6903458237648
20050000.0,-109.74247187376022,-109.74247187376022,250.25752812623978
20060000.0,-109.79482054710388,-109.79482054710388,-109.79482054710388
20070000.0,-109.84670788049698,-109.84670788049698,-109.84670788049698
20080000.0,-109.89816069602966,-109.89816069602966,250.10183930397034
20090000.0,-109.95289117097855,-109.95289117097855,-109.95289117097855
20100000.0,-110.00294387340546,-110.00294387340546,249.99705612659454
20110000.0,-110.05636543035507,-110.05636543035507,-110.05636543035507
20120000.0,-110.10833323001862,-110.10833323001862,249.89166676998138
20130000.0,-110.16042977571487,-110.16042977571487,-110.16042977571487
20140000.0,-110.21497517824173,-110.21497517824173,249.78502482175827
20150000.0,-110.2657413482666,-110.2657413482666,-110.2657413482666
20160000.0,-110.31942039728165,-110.31942039728165,-110.31942039728165
20170000.0,-110.37152230739594,-110.37152230739594,-110.37152230739594
20180000.0,-110.42579144239426,-110.42579144239426,249.57420855760574
20190000.0,-110.47854781150818,-110.47854781150818,-110.47854781150818
20200000.0,-110.5302420258522,-110.5302420258522,-110.5302420258522
20210000.0,-110.58339267969131,-110.58339267969131,249.41660732030869
20220000.0,-110.63897609710693,-110.63897609710693,-110.63897609710693
20230000.0,-110.68940430879593,-110.68940430879593,249.31059569120407
20240000.0,-110.74196487665176,-110.74196487665176,249.25803512334824
20250000.0,-110.79321920871735,-110.79321920871735,-110.79321920871735
20260000.0,-110.84809988737106,-110.84809988737106,-110.84809988737106
20270000.0,-110.90140342712402,-110.90140342712402,249.09859657287598
20280000.0,-110.95376282930374,-110.95376282930374,-110.95376282930374
20290000.0,-111.00714147090912,-111.00714147090912,248.99285852909088
20300000.0,-111.06014460325241,-111.06014460325241,-111.06014460325241
20310000.0,-111.11264079809189,-111.11264079809189,248.8873592019081
20320000.0,-111.16479367017746,-111.16479367017746,-111.16479367017746
20330000.0,-111.21720939874649,-111.21720939874649,-111.21720939874649
20340000.0,-111.26955807209015,-111.26955807209015,248.73044192790985
20350000.0,-111.32463991641998,-111.32463991641998,248.67536008358002
20360000.0,-111.37767791748047,-111.37767791748047,-111.37767791748047
20370000.0,-111.43015533685684,-111.43015533685684,248.56984466314316
20380000.0,-111.48186832666397,-111.48186832666397,-111.48186832666397
20390000.0,-111.53358399868011,-111.53358399868011,-111.53358399868011
20400000.0,-111.58750712871552,-111.58750712871552,248.41249287128448
20410000.0,-111.6392657160759,-111.6392657160759,248.3607342839241
20420000.0,-111.6929367184639,-111.6929367184639,-111.6929367184639
20430000.0,-111.74568772315979,-111.74568772315979,-111.74568772315979
20440000.0,-111.79843872785568,-111.79843872785568,-111.79843872785568
20450000.0,-111.8517529964447,-111.8517529964447,248.1482470035553
20460000.0,-111.9047024846077,-111.9047024846077,-111.9047024846077
20470000.0,-111.95840030908585,-111.95840030908585,-111.95840030908585
20480000.0,-112.00964123010635,-112.00964123010635,-112.00964123010635
20490000.0,-112.06271946430206,-112.06271946430206,-112.06271946430206
20500000.0,-112.11408644914627,-112.11408644914627,-112.11408644914627
20510000.0,-112.16701984405518,-112.16701984405518,247.83298015594482
20520000.0,-112.22254693508148,-112.22254693508148,-112.22254693508148
20530000.0,-112.27603286504745,-112.27603286504745,-112.27603286504745
20540000.0,-112.32831448316574,-112.32831448316574,-112.32831448316574
20550000.0,-112.37909406423569,-112.37909406423569,-112.37909406423569
20560000.0,-112.43343025445938,-112.43343025445938,247.56656974554062
20570000.0,-112.48434126377106,-112.48434126377106,-112.48434126377106
20580000.0,-112.53740608692169,-112.53740608692169,-112.53740608692169
20590000.0,-112.5920507311821,-112.5920507311821,-112.5920507311821
20600000.0,-112.64496803283691,-112.64496803283691,-112.64496803283691
20610000.0,-112.69632965326309,-112.69632965326309,-112.69632965326309
20620000.0,-112.7495527267456,-112.7495527267456,-112.7495527267456
20630000.0,-112.8028455376625,-112.8028455376625,-112.8028455376625
20640000.0,-112.85536050796509,-112.85536050796509,-112.85536050796509
20650000.0,-112.90827244520187,-112.90827244520187,-112.90827244520187
20660000.0,-112.96251207590103,-112.96251207590103,247.03748792409897
20670000.0,-113.01375031471252,-113.01375031471252,-113.01375031471252
20680000.0,-113.06687414646149,-113.06687414646149,-113.06687414646149
20690000.0,-113.11997652053833,-113.11997652053833,-113.11997652053833
20700000.0,-113.17344635725021,-113.17344635725021,-113.17344635725021
20710000.0,-113.22476506233215,-113.22476506233215,246.77523493766785
20720000.0,-113.27855676412582,-113.27855676412582,-113.27855676412582
20730000.0,-113.33125948905945,-113.33125948905945,-113.33125948905945
20740000.0,-113.3839675784111,-113.3839675784111,-113.3839675784111
20750000.0,-113.43529164791107,-113.43529164791107,-113.43529164791107
20760000.0,-113.48991215229034,-113.48991215229034,-113.48991215229034
20770000.0,-113.54223400354385,-113.54223400354385,246.45776599645615
20780000.0,-113.59602838754654,-113.59602838754654,-113.59602838754654
20790000.0,-113.64787817001343,-113.64787817001343,-113.64787817001343
20800000.0,-113.70061844587326,-113.70061844587326,-113.70061844587326
20810000.0,-113.753162920475,-113.753162920475,-113.753162920475
20820000.0,-113.80526751279831,-113.80526751279831,246.1947324872017
20830000.0,-113.86029571294785,-113.86029571294785,-113.86029571294785
20840000.0,-113.91180485486984,-113.91180485486984,246.08819514513016
20850000.0,-113.96547853946686,-113.96547853946686,246.03452146053314
20860000.0,-114.01795595884323,-114.01795595884323,245.98204404115677
20870000.0,-114.07142847776413,-114.07142847776413,245.92857152223587
