run,started_at_local,filename
01,2026-03-12T11:18:41+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_111841__run-01.csv
02,2026-03-12T11:26:09+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_112609__run-02.csv
03,2026-03-12T11:33:40+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_113340__run-03.csv
04,2026-03-12T11:41:09+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_114109__run-04.csv
05,2026-03-12T11:48:37+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_114837__run-05.csv
06,2026-03-12T11:56:17+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_115617__run-06.csv
07,2026-03-12T12:03:48+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_120348__run-07.csv
08,2026-03-12T12:11:19+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_121119__run-08.csv
09,2026-03-12T12:18:47+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_121847__run-09.csv
10,2026-03-12T12:26:19+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_122619__run-10.csv
11,2026-03-12T12:33:43+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_123343__run-11.csv
12,2026-03-12T12:41:12+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_124112__run-12.csv
13,2026-03-12T12:48:34+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_124834__run-13.csv
14,2026-03-12T12:55:57+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_125557__run-14.csv
15,2026-03-12T13:03:14+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_130314__run-15.csv
16,2026-03-12T13:10:50+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_131050__run-16.csv
17,2026-03-12T13:18:23+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_131823__run-17.csv
18,2026-03-12T13:25:52+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_132552__run-18.csv
19,2026-03-12T13:33:13+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_133313__run-19.csv
20,2026-03-12T13:40:47+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260312_134047__run-20.csv
