run,filename,length_m,sigma_L_fit_m,sigma_L_ng_m,sigma_L_timebase_m,sigma_L_total_m
01,fut_FBS_100m_50_av_10kHz_BW__start-20260312_111841__run-01.csv,-101.78975666158713,0.0016286312859320107,0.0069339071295359085,5.0894878330793565e-05,0.007122787251854836
02,fut_FBS_100m_50_av_10kHz_BW__start-20260312_112609__run-02.csv,-101.79000378535696,0.0016311842912908382,0.006933923963580175,5.089500189267848e-05,0.007123387819435571
03,fut_FBS_100m_50_av_10kHz_BW__start-20260312_113340__run-03.csv,-101.79102604860725,0.0016372403533933234,0.006933993600041366,5.089551302430362e-05,0.007124844810481147
04,fut_FBS_100m_50_av_10kHz_BW__start-20260312_114109__run-04.csv,-101.79017810995774,0.0016224680122333037,0.006933935838552979,5.0895089054978865e-05,0.007121408496496996
05,fut_FBS_100m_50_av_10kHz_BW__start-20260312_114837__run-05.csv,-101.78990714801651,0.0016290240453917919,0.0069339173806550755,5.089495357400825e-05,0.007122887046592447
06,fut_FBS_100m_50_av_10kHz_BW__start-20260312_115617__run-06.csv,-101.78998327632692,0.001631473187409065,0.006933922566507284,5.089499163816346e-05,0.007123452619322144
07,fut_FBS_100m_50_av_10kHz_BW__start-20260312_120348__run-07.csv,-101.78981648629058,0.0016341701247710426,0.0069339112047881865,5.089490824314529e-05,0.007124059719307976
08,fut_FBS_100m_50_av_10kHz_BW__start-20260312_121119__run-08.csv,-101.78973122713549,0.0016298724854736056,0.006933905396943835,5.089486561356774e-05,0.007123069468987129
09,fut_FBS_100m_50_av_10kHz_BW__start-20260312_121847__run-09.csv,-101.78976237816858,0.0016351478856240294,0.006933907518948813,5.0894881189084284e-05,0.007124280481432976
10,fut_FBS_100m_50_av_10kHz_BW__start-20260312_122619__run-10.csv,-101.78968113778494,0.0016313732568289329,0.006933901984862735,5.089484056889247e-05,0.007123409697860747
11,fut_FBS_100m_50_av_10kHz_BW__start-20260312_123343__run-11.csv,-101.78965506470163,0.0016347949451678946,0.006933900208767141,5.0894827532350815e-05,0.007124192368357066
12,fut_FBS_100m_50_av_10kHz_BW__start-20260312_124112__run-12.csv,-101.78970996973081,0.001637763309087695,0.006933903948891745,5.08948549848654e-05,0.0071248777473942905
13,fut_FBS_100m_50_av_10kHz_BW__start-20260312_124834__run-13.csv,-101.7898004500358,0.0016361503528886801,0.006933910112400259,5.08949002250179e-05,0.007124513156347824
14,fut_FBS_100m_50_av_10kHz_BW__start-20260312_125557__run-14.csv,-101.79081364570064,0.0016645489455622594,0.0069339791311785175,5.0895406822850316e-05,0.007131155595429628
15,fut_FBS_100m_50_av_10kHz_BW__start-20260312_130314__run-15.csv,-101.79269615766125,0.0016473305038895855,0.006934107367688096,5.0896348078830626e-05,0.0071272809130775265
16,fut_FBS_100m_50_av_10kHz_BW__start-20260312_131050__run-16.csv,-101.79192056968148,0.0016040655793640693,0.006934054534719447,5.089596028484074e-05,0.007117354078036109
17,fut_FBS_100m_50_av_10kHz_BW__start-20260312_131823__run-17.csv,-101.79068389234547,0.0016164181086097383,0.006933970292394106,5.089534194617273e-05,0.00712006614108867
18,fut_FBS_100m_50_av_10kHz_BW__start-20260312_132552__run-18.csv,-101.79036698689141,0.0016259396396596168,0.006933948704829116,5.0895183493445705e-05,0.007122212765195986
19,fut_FBS_100m_50_av_10kHz_BW__start-20260312_133313__run-19.csv,-101.79017822645697,0.0016236432997107047,0.006933935846488895,5.089508911322848e-05,0.007121676361504711
20,fut_FBS_100m_50_av_10kHz_BW__start-20260312_134047__run-20.csv,-101.79008963565724,0.001629174818586697,0.006933929811693273,5.089504481782862e-05,0.007122933632190651
