run,started_at_local,filename
calibration,2026-03-16T15:02:29+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series2__start-20260316_150229__calibration.csv
01,2026-03-16T15:11:36+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series2__start-20260316_151136__run-01.csv
02,2026-03-16T15:19:28+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series2__start-20260316_151928__run-02.csv
