frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
10000000.0,117.53279238939285,117.53279238939285,117.53279238939285
10502793.296089385,123.39324474334717,123.39324474334717,123.39324474334717
11005586.592178771,128.6737659573555,128.6737659573555,-231.3262340426445
11508379.888268156,134.64075833559036,134.64075833559036,134.64075833559036
12011173.184357543,140.77376067638397,140.77376067638397,-219.22623932361603
12513966.480446927,146.04013323783875,146.04013323783875,-213.95986676216125
13016759.776536312,151.47850781679153,151.47850781679153,-208.52149218320847
13519553.072625699,157.24170327186584,157.24170327186584,-202.75829672813416
14022346.368715083,162.8767427802086,162.8767427802086,-197.1232572197914
14525139.66480447,168.66339147090912,168.66339147090912,168.66339147090912
15027932.960893854,174.09742087125778,174.09742087125778,174.09742087125778
15530726.25698324,179.7691610455513,179.7691610455513,179.7691610455513
16033519.553072626,-174.37426507472992,185.62573492527008,-174.37426507472992
16536312.849162012,-168.93706798553467,191.06293201446533,-168.93706798553467
17039106.145251397,-163.1375902891159,196.8624097108841,196.8624097108841
17541899.44134078,-157.4103444814682,202.5896555185318,202.5896555185318
18044692.737430166,-151.90438091754913,208.09561908245087,-151.90438091754913
18547486.03351955,-145.89027285575867,214.10972714424133,-145.89027285575867
19050279.32960894,-140.08340299129486,219.91659700870514,219.91659700870514
19553072.625698324,-134.03501629829407,225.96498370170593,-134.03501629829407
20055865.92178771,-128.735993206501,231.264006793499,231.264006793499
20558659.217877097,-123.35602909326553,236.64397090673447,-123.35602909326553
21061452.51396648,-117.28498041629791,242.7150195837021,-117.28498041629791
21564245.810055867,-111.34984195232391,248.6501580476761,248.6501580476761
22067039.10614525,-106.5697968006134,253.4302031993866,253.4302031993866
22569832.402234636,-100.24582654237747,259.7541734576225,259.7541734576225
23072625.698324025,-94.94497418403625,265.05502581596375,265.05502581596375
23575418.994413406,-89.30353492498398,270.696465075016,-89.30353492498398
24078212.290502794,-83.58044922351837,276.4195507764816,276.4195507764816
24581005.58659218,-77.90026277303696,282.09973722696304,-77.90026277303696
25083798.882681563,-72.39645570516586,287.60354429483414,-72.39645570516586
25586592.178770952,-66.75003558397293,293.24996441602707,293.24996441602707
26089385.474860333,-61.090110540390015,298.90988945961,-61.090110540390015
26592178.77094972,-55.49223035573959,304.5077696442604,-55.49223035573959
27094972.067039106,-49.6989431977272,310.3010568022728,-49.6989431977272
27597765.36312849,-44.09166991710663,315.9083300828934,-44.09166991710663
28100558.659217875,-38.87959599494934,321.12040400505066,-38.87959599494934
28603351.955307264,-32.37484484910965,327.62515515089035,-32.37484484910965
29106145.25139665,-27.717363238334656,332.28263676166534,-27.717363238334656
29608938.547486033,-22.117514312267303,337.8824856877327,-22.117514312267303
30111731.843575418,-15.602238178253174,344.3977618217468,-15.602238178253174
30614525.139664803,-10.470531284809113,349.5294687151909,-10.470531284809113
31117318.43575419,-5.1488059759140015,354.851194024086,-5.1488059759140015
31620111.731843576,1.010042130947113,361.0100421309471,1.010042130947113
32122905.02793296,6.363025903701782,366.3630259037018,6.363025903701782
32625698.324022345,11.634886264801025,371.634886264801,11.634886264801025
33128491.62011173,17.595806121826172,377.5958061218262,17.595806121826172
33631284.916201115,23.090024292469025,383.090024292469,23.090024292469025
34134078.2122905,28.63397866487503,388.63397866487503,28.63397866487503
34636871.50837989,34.214558601379395,394.2145586013794,34.214558601379395
35139664.80446927,39.71849173307419,399.7184917330742,39.71849173307419
35642458.10055865,45.360413789749146,405.36041378974915,45.360413789749146
36145251.39664805,50.97604751586914,410.97604751586914,50.97604751586914
36648044.69273743,56.36310875415802,416.363108754158,56.36310875415802
37150837.98882681,61.82250380516052,421.8225038051605,61.82250380516052
37653631.2849162,67.89031773805618,427.8903177380562,67.89031773805618
38156424.58100559,73.90726625919342,433.9072662591934,73.90726625919342
38659217.87709497,79.31596755981445,439.31596755981445,79.31596755981445
39162011.17318436,84.81096625328064,444.81096625328064,84.81096625328064
39664804.469273746,90.50092399120331,450.5009239912033,90.50092399120331
40167597.76536313,95.9997609257698,455.9997609257698,95.9997609257698
40670391.06145251,101.72521770000458,461.7252177000046,101.72521770000458
41173184.357541904,107.19936221837997,467.19936221838,107.19936221837997
41675977.653631285,112.68924325704575,472.68924325704575,112.68924325704575
42178770.949720666,118.19504588842392,478.1950458884239,-241.80495411157608
42681564.245810054,123.67156147956848,483.6715614795685,123.67156147956848
43184357.54189944,129.54324960708618,489.5432496070862,129.54324960708618
43687150.83798882,134.83300030231476,494.83300030231476,134.83300030231476
44189944.13407821,140.75195968151093,500.7519596815109,140.75195968151093
44692737.4301676,146.18461847305298,506.184618473053,146.18461847305298
45195530.72625698,151.54817014932632,511.5481701493263,-208.45182985067368
45698324.02234637,157.5945022702217,517.5945022702217,157.5945022702217
46201117.31843575,162.74797797203064,522.7479779720306,162.74797797203064
46703910.61452514,168.44115436077118,528.4411543607712,168.44115436077118
47206703.91061453,174.0765318274498,534.0765318274498,174.0765318274498
47709497.20670391,-0.3283211588859558,539.9934902787209,-180.00650972127914
48212290.5027933,-174.67594385147095,545.324056148529,185.32405614852905
48715083.79888268,-169.32277500629425,550.6772249937057,-169.32277500629425
49217877.09497207,-163.89495223760605,556.105047762394,-163.89495223760605
49720670.391061455,-158.0714499950409,561.9285500049591,201.9285500049591
50223463.687150836,-152.71190017461777,567.2880998253822,-152.71190017461777
50726256.983240224,-146.83304518461227,573.1669548153877,213.16695481538773
