run,filename,length_m,sigma_L_fit_m,sigma_L_ng_m,sigma_L_timebase_m,sigma_L_total_m
34,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_213550__run-34.csv,-101.42307433568054,0.10298191807164132,0.006908928769460527,5.071153716784027e-05,0.10321342605550755
35,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_214452__run-35.csv,-101.56596589482007,0.08341564173517133,0.0069186625268951,5.078298294741003e-05,0.0837020893177875
36,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_215400__run-36.csv,-101.58533555951928,0.06769562145365018,0.006919981986343276,5.0792667779759634e-05,0.06804840846472693
37,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_220312__run-37.csv,-101.70939178098682,0.03240303538677062,0.00692843268262853,5.085469589049341e-05,0.0331355167141561
38,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_221211__run-38.csv,-101.72855445070228,0.026113890413304808,0.006929738041600973,5.0864277225351134e-05,0.027017755810170508
39,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_222116__run-39.csv,-101.80123553617369,0.030249570167094328,0.006934689069221641,5.0900617768086846e-05,0.03103431969052382
40,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_223022__run-40.csv,-101.75127162303576,0.014451384533880781,0.006931285532904344,5.087563581151788e-05,0.016027720437262964
41,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_223926__run-41.csv,-101.7531488791034,0.016039693631357297,0.0069314134113830665,5.0876574439551704e-05,0.017473375520864066
42,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_224832__run-42.csv,-101.52864129243777,0.0849183745173733,0.006916119979048895,5.0764320646218884e-05,0.08519956351562914
43,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_225743__run-43.csv,-101.50455924768433,0.08796787754473992,0.006914479512785036,5.075227962384216e-05,0.0882392207720182
44,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_230646__run-44.csv,-101.7357110893497,0.01647310393059889,0.0069302255510456205,5.086785554467485e-05,0.017871591054951036
45,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_231603__run-45.csv,-101.70429132093771,0.035631593187698894,0.006928085239845894,5.0852145660468855e-05,0.036298917120555524
46,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_232508__run-46.csv,-101.73628378568172,0.013975116190910344,0.006930264563057338,5.0868141892840856e-05,0.015599199563800457
47,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_233410__run-47.csv,-101.64319164242846,0.048765500202092284,0.0069239231364052085,5.082159582121423e-05,0.049254617087068214
48,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_234311__run-48.csv,-101.60772269782332,0.062485761491289434,0.006921506995764532,5.080386134891166e-05,0.06286795868541506
49,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_235214__run-49.csv,-101.6543029050211,0.040091813901213746,0.006924680034401982,5.0827151452510546e-05,0.040685468153478656
50,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260317_000125__run-50.csv,-101.84300386067774,0.02716193610310726,0.006937534322934451,5.092150193033887e-05,0.028033957058370015
