run_number,status,start_time_iso,elapsed_start_s,raw_csv,end_time_iso,elapsed_end_s,elapsed_midpoint_s,run_duration_s,measurement_slope_deg_per_hz,measurement_slope_std_deg_per_hz,calibration_slope_deg_per_hz,calibration_slope_std_deg_per_hz,slope_difference_deg_per_hz,slope_difference_std_deg_per_hz,group_delay_s,fibre_length_m,fibre_length_fit_std_m,fibre_length_ng_std_m,fibre_length_total_std_m,fit_r_squared,fit_residual_rms_deg,fit_points_used,fit_points_total,error_message,elapsed_midpoint_min,change_from_first_m,deviation_from_mean_m,change_from_first_mm,deviation_from_mean_mm,linear_drift_fit_m
1,ok,2026-08-05T15:27:59.821,0.0006690000009257346,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_001_2026-08-05_15-27-59-821.csv,2026-08-05T15:50:44.795,1364.9747568999883,682.4877129499946,1364.9740878999874,-0.00017563487411530488,5.127454757967692e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017933714693118636,5.154133772364432e-10,4.981587414755176e-07,101.73312914246048,0.00029238011513736483,0.06930049669104937,0.0693011134669413,0.9999999957471241,0.016565263465509118,501,501,,11.374795215833243,0.0,0.004686855825710268,0.0,4.686855825710268,101.73025563097755
2,ok,2026-08-05T15:50:46.800,1366.9798460999882,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_002_2026-08-05_15-50-46-800.csv,2026-08-05T16:13:27.924,2728.103378999993,2047.5416125499905,1361.1235329000046,-0.00017563131708280268,4.775491869013151e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017933358989868415,4.804125855911022e-10,4.981488608296782e-07,101.73111133380733,0.00027252510953771556,0.0692991221619941,0.06929965802482946,0.9999999963107945,0.015428177277347976,501,501,,34.12569354249984,-0.002017808653150155,0.002669047172560113,-2.017808653150155,2.669047172560113,101.73016199275972
3,ok,2026-08-05T16:13:29.927,2730.1062313,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_003_2026-08-05_16-13-29-927.csv,2026-08-05T16:36:05.278,4085.457556299996,3407.781893799998,1355.351324999996,-0.00017563212375953469,5.959352895208716e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017933439657541616,5.982323092081753e-10,4.981511015983782e-07,101.73156893977215,0.000339361062731863,0.06929943388267858,0.06930026480750733,0.9999999942549893,0.019252876027726594,501,501,,56.79636489666664,-0.0015602026883385633,0.0031266531373717044,-1.5602026883385633,3.1266531373717044,101.7300686847403
4,ok,2026-08-05T16:36:07.281,4087.460094599999,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_004_2026-08-05_16-36-07-281.csv,2026-08-05T16:58:37.312,5437.491256299996,4762.475675449998,1350.031161699997,-0.00017562778501705478,6.431939727270708e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017933005783293625,6.453227975491434e-10,4.981390495359341e-07,101.72910768812088,0.0003660742273703718,0.0692977572807363,0.06929872419085206,0.9999999933073513,0.020779661880155363,501,501,,79.3745945908333,-0.004021454339607544,0.0006654014861027235,-4.021454339607544,0.6654014861027235,101.72997575719256
5,ok,2026-08-05T16:58:39.315,5439.494136900001,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_005_2026-08-05_16-58-39-315.csv,2026-08-05T17:21:12.566,6792.745222999991,6116.119679950003,1353.25108609999,-0.00017562659848209018,6.372649974028929e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017932887129797165,6.394135621013445e-10,4.981357536054768e-07,101.72843459882031,0.00036272207739346376,0.06929729877303836,0.0692982480625966,0.9999999934300798,0.020588114527796065,501,501,,101.93532799916672,-0.004694543640169968,-7.687814459700348e-06,-4.694543640169968,-0.007687814459700348,101.7298829016561
6,ok,2026-08-05T17:21:14.569,6794.748231899997,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_006_2026-08-05_17-21-14-569.csv,2026-08-05T17:43:58.409,8158.588698399995,7476.668465149996,1363.840466499998,-0.00017562515408750965,6.189900790008047e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017932742690339112,6.212018547828421e-10,4.981317413983087e-07,101.7276152327107,0.0003523910667565609,0.06929674062173755,0.06929763661381462,0.9999999938013876,0.01999770690367567,501,501,,124.61114108583327,-0.005513909749780055,-0.0008270539240697872,-5.513909749780055,-0.8270539240697872,101.72978957247432
7,ok,2026-08-05T17:44:00.412,8160.591832699996,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_007_2026-08-05_17-44-00-412.csv,2026-08-05T18:06:43.012,9523.191202199989,8841.891517449985,1362.5993694999925,-0.00017562492181587484,6.204731939486359e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.0001793271946317563,6.226797016870249e-10,4.98131096199323e-07,101.72748347127352,0.000353229409467643,0.06929665086599013,0.06929755112742905,0.9999999937716315,0.020045621884928647,501,501,,147.36485862416643,-0.0056456711869685705,-0.0009588153612583028,-5.6456711869685705,-0.9588153612583028,101.72969592265316
8,ok,2026-08-05T18:06:45.014,9525.193614499993,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_008_2026-08-05_18-06-45-014.csv,2026-08-05T18:29:27.645,10887.82460909999,10206.509111799998,1362.6309945999965,-0.00017563733209266988,6.160081305004235e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017933960490855135,6.18230574564901e-10,4.981655691904204e-07,101.73452348676103,0.0003507055395844005,0.06930144651686719,0.06930233389796983,0.9999999938618179,0.019901369120345343,501,501,,170.10848519666663,0.0013943443005501877,0.006081200126260455,1.3943443005501877,6.081200126260455,101.72960231436444
9,ok,2026-08-05T18:29:29.648,10889.82755229999,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_009_2026-08-05_18-29-29-648.csv,2026-08-05T18:52:09.331,12249.510622099988,11569.669087199989,1359.6830697999976,-0.00017562483083164904,5.93101761595485e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.0001793271036475305,5.954097127960615e-10,4.981308434653626e-07,101.72743185837484,0.00033775987987474514,0.06929661570733982,0.06929743884320104,0.999999994309019,0.01916133326657613,501,501,,192.82781811999982,-0.005697284085641741,-0.001010428259931473,-5.697284085641741,-1.010428259931473,101.72950880606359
10,ok,2026-08-05T18:52:11.334,12251.513328199988,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_010_2026-08-05_18-52-11-334.csv,2026-08-05T19:14:41.205,13601.384801099994,12926.44906464999,1349.8714729000058,-0.0001756272193105898,6.048965808969385e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017932949212647126,6.071596989796238e-10,4.981374781290868e-07,101.72878677809275,0.0003444253302975354,0.0692975386771749,0.06929839460999586,0.99999999408058,0.019542388387457053,501,501,,215.4408177441665,-0.004342364367730056,0.00034449145798021164,-4.342364367730056,0.34449145798021164,101.72941573540966
11,ok,2026-08-05T19:14:43.209,13603.388198,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_011_2026-08-05_19-14-43-209.csv,2026-08-05T19:37:24.633,14964.812000099992,14284.100099050003,1361.423802099991,-0.00017562738752710356,6.053481940141826e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017932966034298504,6.076096300096413e-10,4.981379453971807e-07,101.72888220278651,0.000344680564042274,0.06929760368037229,0.06929846088141622,0.9999999940717493,0.019556978648367775,501,501,,238.0683349841667,-0.004246939673976158,0.0004399161517341099,-4.246939673976158,0.4399161517341099,101.72932260500409
12,ok,2026-08-05T19:37:26.635,14966.814815799997,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_012_2026-08-05_19-37-26-635.csv,2026-08-05T19:59:58.982,16319.161517399989,15642.9881666,1352.3467015999922,-0.0001756273520066884,5.949545816610793e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017932962482256987,5.972553731225286e-10,4.981378467293607e-07,101.72886205301246,0.0003388068732253065,0.06929758995436816,0.06929841818960294,0.9999999942735712,0.019221192307741154,501,501,,260.7164694433333,-0.004267089448021011,0.00041976637768925684,-4.267089448021011,0.41976637768925684,101.7292293897421
13,ok,2026-08-05T20:00:00.985,16321.164419299996,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_013_2026-08-05_20-00-00-985.csv,2026-08-05T20:22:18.306,17658.485215399996,16989.82481734999,1337.3207961000007,-0.00017562780047247076,5.986653661211644e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017933007328835223,6.009519507225255e-10,4.981390924676451e-07,101.72911645556171,0.0003409038420507887,0.06929776325310744,0.06929860177026122,0.9999999942019456,0.019341076587840025,501,501,,283.1637469558331,-0.0040126868987755415,0.0006741689269347262,-4.0126868987755415,0.6741689269347262,101.72913700116776
14,ok,2026-08-05T20:22:20.309,17660.488150499994,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_014_2026-08-05_20-22-20-309.csv,2026-08-05T20:44:49.112,19009.29138299999,18334.889766749984,1348.803232499995,-0.00017562750745333535,5.949104969798817e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.00017932978026921682,5.972114582801227e-10,4.981382785256022e-07,101.72895023370498,0.0003387819615190025,0.0692976500229598,0.06929847813568543,0.99999999427443,0.01921976806433227,501,501,,305.58149611249974,-0.004178908755505972,0.0005079470702042954,-4.178908755505972,0.5079470702042954,101.7290447341263
15,ok,2026-08-05T20:44:51.115,19011.294313599996,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_015_2026-08-05_20-44-51-115.csv,2026-08-05T21:07:28.570,20368.749836500006,19690.02207505,1357.4555229000107,-0.00017562769692621314,6.052354563677253e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.0001793299697420946,6.074973120342753e-10,4.981388048391517e-07,101.72905771656103,0.00034461684908255444,0.06929772324016419,0.06929858012285002,0.9999999940739781,0.01955333643424483,501,501,,328.1670345841667,-0.004071425899454084,0.0006154299262561835,-4.071425899454084,0.6154299262561835,101.72895177649708
16,ok,2026-08-05T21:07:30.574,20370.753271299996,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-05_15-26-44\FUT_run_016_2026-08-05_21-07-30-574.csv,2026-08-05T21:30:01.732,21721.9117193,21046.332495299983,1351.158448000002,-0.00017562761138539292,5.945045374593756e-10,3.7022728158814838e-06,5.237391033922164e-11,-0.0001793298842012744,5.968070639193264e-10,4.981385672257622e-07,101.7290091915596,0.0003385525594992014,0.0692976901849861,0.06929851717612624,0.9999999942822482,0.019206652733780093,501,501,,350.7722082549997,-0.004119950900886238,0.0005669049248240299,-4.119950900886238,0.5669049248240299,101.72885873805323
