frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
20000000.0,73.87679368257523,73.87679368257523,73.87679368257523
20010000.0,72.11714118719101,72.11714118719101,72.11714118719101
20020000.0,70.35727143287659,70.35727143287659,70.35727143287659
20030000.0,68.59879910945892,68.59879910945892,68.59879910945892
20040000.0,66.84397459030151,66.84397459030151,66.84397459030151
20050000.0,65.08515357971191,65.08515357971191,65.08515357971191
20060000.0,63.326185047626495,63.326185047626495,63.326185047626495
20070000.0,61.571655571460724,61.571655571460724,61.571655571460724
20080000.0,59.814693331718445,59.814693331718445,59.814693331718445
20090000.0,58.05886834859848,58.05886834859848,-301.9411316514015
20100000.0,56.30148500204086,56.30148500204086,56.30148500204086
20110000.0,54.544512033462524,54.544512033462524,54.544512033462524
20120000.0,52.79162675142288,52.79162675142288,52.79162675142288
20130000.0,51.03228002786636,51.03228002786636,51.03228002786636
20140000.0,49.274950325489044,49.274950325489044,49.274950325489044
20150000.0,47.52056837081909,47.52056837081909,47.52056837081909
20160000.0,45.76458781957626,45.76458781957626,-314.23541218042374
20170000.0,44.00800108909607,44.00800108909607,-315.99199891090393
20180000.0,42.249067425727844,42.249067425727844,42.249067425727844
20190000.0,40.49577176570892,40.49577176570892,40.49577176570892
20200000.0,38.738031685352325,38.738031685352325,38.738031685352325
20210000.0,36.97968810796738,36.97968810796738,36.97968810796738
20220000.0,35.22621273994446,35.22621273994446,35.22621273994446
20230000.0,33.467855751514435,33.467855751514435,33.467855751514435
20240000.0,31.71190470457077,31.71190470457077,-328.28809529542923
20250000.0,29.95648205280304,29.95648205280304,29.95648205280304
20260000.0,28.200455904006958,28.200455904006958,28.200455904006958
20270000.0,26.442624628543854,26.442624628543854,26.442624628543854
20280000.0,24.683436155319214,24.683436155319214,24.683436155319214
20290000.0,22.92843461036682,22.92843461036682,22.92843461036682
20300000.0,21.169463396072388,21.169463396072388,21.169463396072388
20310000.0,19.41546767950058,19.41546767950058,19.41546767950058
20320000.0,17.656759321689606,17.656759321689606,17.656759321689606
20330000.0,15.9013232588768,15.9013232588768,15.9013232588768
20340000.0,14.145460724830627,14.145460724830627,14.145460724830627
20350000.0,12.387025952339172,12.387025952339172,12.387025952339172
20360000.0,10.63353717327118,10.63353717327118,10.63353717327118
20370000.0,8.873291909694672,8.873291909694672,8.873291909694672
20380000.0,7.119679749011993,7.119679749011993,7.119679749011993
20390000.0,5.357897579669952,5.357897579669952,5.357897579669952
20400000.0,3.603440523147583,3.603440523147583,3.603440523147583
20410000.0,1.8488198518753052,1.8488198518753052,1.8488198518753052
20420000.0,0.0903850793838501,0.0903850793838501,0.0903850793838501
20430000.0,-1.6659387946128845,-1.6659387946128845,-1.6659387946128845
20440000.0,-3.4222277998924255,-3.4222277998924255,-3.4222277998924255
20450000.0,-5.17805278301239,-5.17805278301239,-5.17805278301239
20460000.0,-6.936337351799011,-6.936337351799011,-6.936337351799011
20470000.0,-8.694836497306824,-8.694836497306824,-8.694836497306824
20480000.0,-10.448319911956787,-10.448319911956787,-10.448319911956787
20490000.0,-12.205115854740143,-12.205115854740143,-12.205115854740143
20500000.0,-13.964653015136719,-13.964653015136719,-13.964653015136719
20510000.0,-15.71981817483902,-15.71981817483902,-15.71981817483902
20520000.0,-17.48157888650894,-17.48157888650894,-17.48157888650894
20530000.0,-19.23355221748352,-19.23355221748352,-19.23355221748352
