run_id,timestamp,attenuation_dB,csv_file,log_file,note
20260630_102254,20260630_102254,-30.0,att_-30p00dB_run_20260630_102254.csv,att_-30p00dB_run_20260630_102254.log,"dark-count/background check, 2 us delay condition"
20260630_102423,20260630_102423,-28.0,att_-28p00dB_run_20260630_102423.csv,att_-28p00dB_run_20260630_102423.log,"dark-count/background check, 2 us delay condition"
20260630_102547,20260630_102547,-26.0,att_-26p00dB_run_20260630_102547.csv,att_-26p00dB_run_20260630_102547.log,"dark-count/background check, 2 us delay condition"
20260630_102709,20260630_102709,-24.0,att_-24p00dB_run_20260630_102709.csv,att_-24p00dB_run_20260630_102709.log,"dark-count/background check, 2 us delay condition"
20260630_102831,20260630_102831,-22.0,att_-22p00dB_run_20260630_102831.csv,att_-22p00dB_run_20260630_102831.log,"dark-count/background check, 2 us delay condition"
20260630_103021,20260630_103021,-20.0,att_-20p00dB_run_20260630_103021.csv,att_-20p00dB_run_20260630_103021.log,"dark-count/background check, 2 us delay condition"
20260630_103157,20260630_103157,-18.0,att_-18p00dB_run_20260630_103157.csv,att_-18p00dB_run_20260630_103157.log,"dark-count/background check, 2 us delay condition"
20260630_103346,20260630_103346,-16.0,att_-16p00dB_run_20260630_103346.csv,att_-16p00dB_run_20260630_103346.log,"dark-count/background check, 2 us delay condition"
20260630_103506,20260630_103506,-14.0,att_-14p00dB_run_20260630_103506.csv,att_-14p00dB_run_20260630_103506.log,"dark-count/background check, 2 us delay condition"
20260630_103658,20260630_103658,-12.0,att_-12p00dB_run_20260630_103658.csv,att_-12p00dB_run_20260630_103658.log,"dark-count/background check, 2 us delay condition"
20260630_103811,20260630_103811,-10.0,att_-10p00dB_run_20260630_103811.csv,att_-10p00dB_run_20260630_103811.log,"dark-count/background check, 2 us delay condition"
20260630_104117,20260630_104117,-8.0,att_-8p00dB_run_20260630_104117.csv,att_-8p00dB_run_20260630_104117.log,"dark-count/background check, 2 us delay condition"
20260630_104243,20260630_104243,-6.0,att_-6p00dB_run_20260630_104243.csv,att_-6p00dB_run_20260630_104243.log,"dark-count/background check, 2 us delay condition"
20260630_104403,20260630_104403,-4.0,att_-4p00dB_run_20260630_104403.csv,att_-4p00dB_run_20260630_104403.log,"dark-count/background check, 2 us delay condition"
20260630_104551,20260630_104551,-2.0,att_-2p00dB_run_20260630_104551.csv,att_-2p00dB_run_20260630_104551.log,"dark-count/background check, 2 us delay condition"
20260630_104728,20260630_104728,0.0,att_0p00dB_run_20260630_104728.csv,att_0p00dB_run_20260630_104728.log,"dark-count/background check, 2 us delay condition"
