file,attenuation_dB,condition,note,n_points,duration_s,input1_mean,input1_std,input2_mean,input2_std,coinc_12_mean,coinc_12_std,accidentals,CAR,efficiency_1_to_2_percent,efficiency_2_to_1_percent,pair_probability,pair_probability_percent
att_-30p00dB_run_20260630_102254.csv,-30.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,3863.633333333333,83.72635366986057,3566.4,75.00372404547426,5.166666666666667,2.166887698716889,0.02755852384,187.47980467544036,0.5349023803155925,0.5794825781366831,1.6533333333333335e-06,0.00016533333333333336
att_-28p00dB_run_20260630_102423.csv,-28.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,4241.866666666667,78.95644077736715,3959.9666666666667,86.91552908083973,11.666666666666666,3.3148915136285284,0.03359530120888889,347.2707862961447,1.1001445904318852,1.1784610981573918,3.7333333333333333e-06,0.0003733333333333333
att_-26p00dB_run_20260630_102547.csv,-26.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,5009.966666666666,91.3592693269491,4756.633333333333,82.08678474568886,30.166666666666668,6.1143321361588105,0.04766114889111111,632.9404004839843,2.408532325564375,2.5368082467291293,9.653333333333333e-06,0.0009653333333333333
att_-24p00dB_run_20260630_102709.csv,-24.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,6492.366666666667,88.34200130969583,6193.2,101.43467406882262,77.56666666666666,7.266756300195898,0.08041705048000002,964.554981856214,4.778945530905525,5.009795689896446,2.4821333333333332e-05,0.0024821333333333332
att_-22p00dB_run_20260630_102831.csv,-22.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,9457.366666666667,249.02021567754687,8972.866666666667,242.78339052052897,188.3,19.795767572718756,0.16971938023555558,1109.4784799393926,7.964161976025744,8.394195834850253,6.0256e-05,0.0060256
att_-20p00dB_run_20260630_103021.csv,-20.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,14374.133333333333,215.81836765227362,13760.666666666666,249.5461167155604,393.8333333333333,18.86811456204453,0.39559531484444443,995.5460000536053,10.959501326456783,11.448088755389758,0.00012602666666666667,0.012602666666666667
att_-18p00dB_run_20260630_103157.csv,-18.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,23286.566666666666,387.5611349623867,22411.9,313.27451331006034,800.2666666666667,31.886580609850682,1.0437924069533335,766.691404665914,13.746408873785601,14.282888406010496,0.00025608533333333335,0.025608533333333336
att_-16p00dB_run_20260630_103346.csv,-16.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,36893.833333333336,286.01423684523274,35349.6,308.16694982674125,1414.5333333333333,35.118256705351826,2.6083645016,542.3066187511916,15.336257640165698,16.006216006216007,0.00045265066666666667,0.045265066666666666
att_-14p00dB_run_20260630_103506.csv,-14.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,59935.333333333336,223.32477252420634,57664.6,252.95639531554542,2319.133333333333,44.832049291529835,6.912294045066667,335.5084893977432,15.477570270180083,16.0870505185735,0.0007421226666666666,0.07421226666666667
att_-12p00dB_run_20260630_103658.csv,-12.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,93530.6,235.07483768014137,90914.0,181.26528473007693,3262.633333333333,72.36711166389544,17.006481936800004,191.84645863018753,13.953223151923897,14.354811506845296,0.0010440426666666665,0.10440426666666666
att_-10p00dB_run_20260630_103811.csv,-10.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,128384.73333333334,210.3501077159029,126307.46666666666,242.75782360109474,3528.1666666666665,68.00764831903142,32.431900852017776,108.78692194963216,10.992480414337944,11.173263971726136,0.0011290133333333333,0.11290133333333333
att_-8p00dB_run_20260630_104117.csv,-8.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,155706.0,153.9242984560021,154328.76666666666,162.38899303053537,2997.9,41.293190554943756,48.0598298852,62.378497950597236,7.701437324187893,7.770165121516555,0.0009593280000000001,0.09593280000000001
att_-6p00dB_run_20260630_104243.csv,-6.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,172853.36666666667,102.36361265314105,171977.8,120.67494097496106,2260.3,47.91022495430818,59.453883443853336,38.01770160454812,5.230560546405325,5.257190172219904,0.000723296,0.0723296
att_-4p00dB_run_20260630_104403.csv,-4.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,183596.0,42.11151042583046,183088.7,35.25684086225263,1598.0666666666666,51.87181370909701,67.22870593040001,23.77059984348204,3.481702578850665,3.491349639091143,0.0005113813333333334,0.051138133333333335
att_-2p00dB_run_20260630_104551.csv,-2.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,189036.63333333333,46.41527939073016,188706.8,53.31002364180357,1236.2333333333333,49.67944370095926,71.34499631821333,17.327540782530548,2.6158598183526687,2.6204319787804855,0.0003955946666666667,0.03955946666666667
att_0p00dB_run_20260630_104728.csv,0.0,Nucrypt_CH44_CH24_DC_5us_window_2ns,"dark-count/background check, 2 us delay condition",30,58.01,191430.83333333334,20.401290245427145,191200.16666666666,24.119077201615138,1056.9666666666667,56.643764810912984,73.20321447694445,14.43880127695159,2.208560968496019,2.2112254086249927,0.0003382293333333333,0.03382293333333333
