run_number,status,start_time_iso,elapsed_start_s,raw_csv,end_time_iso,elapsed_end_s,elapsed_midpoint_s,run_duration_s,measurement_slope_deg_per_hz,measurement_slope_std_deg_per_hz,calibration_slope_deg_per_hz,calibration_slope_std_deg_per_hz,slope_difference_deg_per_hz,slope_difference_std_deg_per_hz,group_delay_s,fibre_length_m,fibre_length_fit_std_m,fibre_length_ng_std_m,fibre_length_total_std_m,fit_r_squared,fit_residual_rms_deg,fit_points_used,fit_points_total,error_message,elapsed_midpoint_min_x,change_from_first_m_x,deviation_from_mean_m_x,change_from_first_mm_x,deviation_from_mean_mm_x,linear_drift_fit_m_x,elapsed_midpoint_min_y,change_from_first_m_y,deviation_from_mean_m_y,change_from_first_mm_y,deviation_from_mean_mm_y,linear_drift_fit_m_y,elapsed_midpoint_min,change_from_first_m,deviation_from_mean_m,change_from_first_mm,deviation_from_mean_mm,linear_drift_fit_m
1,ok,2026-08-13T12:30:01.294,0.0005989000001136446,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-13_12-29-51\FUT_run_001_2026-08-13_12-30-01-294.csv,2026-08-13T12:52:53.445,1372.1510909999997,686.0758449500008,1372.1504920999996,-0.007211502075860728,7.190408694847336e-10,-7.228711645613336e-06,4.3594786047631805e-11,-0.007204273364215114,7.203612131145738e-10,2.0011870456153095e-05,4086.790077130598,0.00040864149774349064,2.7839169462742497,2.7839169762657825,0.9999999999950392,0.023230046891379627,501,501,,11.434597415833347,0.0,0.01093726059752953,0.0,10.93726059752953,4086.7856965704004,11.434597415833347,0.0,0.01093726059752953,0.0,10.93726059752953,4086.7856965704004,11.434597415833347,0.0,0.01093726059752953,0.0,10.93726059752953,4086.7856965704004
2,ok,2026-08-13T12:52:55.452,1374.1584151999996,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-13_12-29-51\FUT_run_002_2026-08-13_12-52-55-452.csv,2026-08-13T13:16:03.341,2762.0474187,2068.10291695,1387.8890035000004,-0.007211467515642736,7.640384494807339e-10,-7.228711645613336e-06,4.3594786047631805e-11,-0.007204238803997122,7.652811624856989e-10,2.0011774455547563e-05,4086.770472050556,0.00043412337413465996,2.7839035913150925,2.7839036251638047,0.9999999999943988,0.02468378330286126,501,501,,34.46838194916666,-0.019605080042310874,-0.008667819444781344,-19.605080042310874,-8.667819444781344,4086.7791711225573,34.46838194916666,-0.019605080042310874,-0.008667819444781344,-19.605080042310874,-8.667819444781344,4086.7791711225573,34.46838194916666,-0.019605080042310874,-0.008667819444781344,-19.605080042310874,-8.667819444781344,4086.7791711225573
3,ok,2026-08-13T13:16:05.344,2764.0502326999995,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-13_12-29-51\FUT_run_003_2026-08-13_13-16-05-344.csv,2026-08-13T13:39:37.217,4175.9236893,3469.9869610000005,1411.8734566000003,-0.00721147879482895,6.308941410810098e-10,-7.228711645613336e-06,4.3594786047631805e-11,-0.007204250083183337,6.323985472950455e-10,2.001180578662038e-05,4086.776870428847,0.0003587426485944803,2.7839079498834107,2.7839079729977323,0.9999999999961808,0.02038229133288057,501,501,,57.83311601666667,-0.013206701751187211,-0.002269441153657681,-13.206701751187211,-2.269441153657681,4086.7725519170453,57.83311601666667,-0.013206701751187211,-0.002269441153657681,-13.206701751187211,-2.269441153657681,4086.7725519170453,57.83311601666667,-0.013206701751187211,-0.002269441153657681,-13.206701751187211,-2.269441153657681,4086.7725519170453
