time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;79999912;102803;100443;0;0;3253;0;0;0;0;0;0;0;0;0;0
2.00;79999912;103081;100699;0;0;3306;0;0;0;0;0;0;0;0;0;0
4.00;79999911;102795;100406;0;0;3316;0;0;0;0;0;0;0;0;0;0
6.00;79999911;103209;100699;0;0;3299;0;0;0;0;0;0;0;0;0;0
8.00;79999911;102775;100121;0;0;3495;0;0;0;0;0;0;0;0;0;0
10.00;79999911;103271;100806;0;0;3359;0;0;0;0;0;0;0;0;0;0
12.00;79999911;102989;100558;0;0;3366;0;0;0;0;0;0;0;0;0;0
14.00;79999912;103433;100820;0;0;3274;0;0;0;0;0;0;0;0;0;0
16.00;79999912;103251;100331;0;0;3267;0;0;0;0;0;0;0;0;0;0
18.00;79999912;103139;100599;0;0;3208;0;0;0;0;0;0;0;0;0;0
20.00;79999912;103154;100466;0;0;3313;0;0;0;0;0;0;0;0;0;0
22.00;79999912;102723;99817;0;0;3386;0;0;0;0;0;0;0;0;0;0
24.00;79999912;102190;99390;0;0;3275;0;0;0;0;0;0;0;0;0;0
26.00;79999911;102536;99975;0;0;3287;0;0;0;0;0;0;0;0;0;0
28.00;79999911;102512;99659;0;0;3333;0;0;0;0;0;0;0;0;0;0
30.01;79999911;102686;100549;0;0;3373;0;0;0;0;0;0;0;0;0;0
32.01;79999911;102457;99219;0;0;3310;0;0;0;0;0;0;0;0;0;0
34.01;79999911;102896;100407;0;0;3303;0;0;0;0;0;0;0;0;0;0
36.01;79999912;102203;99648;0;0;3315;0;0;0;0;0;0;0;0;0;0
38.01;79999912;102753;100125;0;0;3289;0;0;0;0;0;0;0;0;0;0
40.01;79999912;102229;99710;0;0;3208;0;0;0;0;0;0;0;0;0;0
42.01;79999910;102703;99905;0;0;3311;0;0;0;0;0;0;0;0;0;0
44.01;79999911;102296;99589;0;0;3360;0;0;0;0;0;0;0;0;0;0
46.01;79999911;102357;100163;0;0;3263;0;0;0;0;0;0;0;0;0;0
48.01;79999911;102156;99752;0;0;3300;0;0;0;0;0;0;0;0;0;0
50.01;79999912;102876;100101;0;0;3323;0;0;0;0;0;0;0;0;0;0
52.01;79999912;102498;99594;0;0;3315;0;0;0;0;0;0;0;0;0;0
54.01;79999912;102920;100143;0;0;3315;0;0;0;0;0;0;0;0;0;0
56.01;79999912;102306;99641;0;0;3365;0;0;0;0;0;0;0;0;0;0
58.01;79999912;102693;100488;0;0;3398;0;0;0;0;0;0;0;0;0;0
