# Rigol MHO-984 Data Acquisition
# Channel: 2
# Timestamp: 2026-07-31 10:44:50
# Measurements:
#   vpp: 0.6138
#   vmax: 0.50913
#   vmin: -0.1096
#   vtop: 0.5064
#   vamp: 0.5022
#   vavg: 0.019467
#   vrms: 0.089421
#   freq: 1000000.0
#   period: 1e-06
#   rise_time: 2.3e-08
#   fall_time: 2.3e-08
#   duty: 0.038
#   negative_duty: 0.961
#
Time (s),Channel 2 (V)
-5e-06,0.0
-4.9900000000000005e-06,-0.11946899999999999
-4.980000000000001e-06,-0.10240199999999999
-4.970000000000001e-06,0.034134
-4.960000000000001e-06,0.068268
-4.95e-06,0.017067
-4.94e-06,0.017067
-4.93e-06,-0.051200999999999997
-4.92e-06,-0.051200999999999997
-4.9100000000000004e-06,0.0
-4.9000000000000005e-06,0.0
-4.890000000000001e-06,0.034134
-4.880000000000001e-06,0.017067
-4.870000000000001e-06,-0.034134
-4.86e-06,-0.034134
-4.85e-06,-0.017067
-4.84e-06,-0.017067
-4.83e-06,0.017067
-4.8200000000000004e-06,0.017067
-4.8100000000000005e-06,-0.017067
-4.800000000000001e-06,-0.017067
-4.790000000000001e-06,-0.034134
-4.78e-06,-0.017067
-4.77e-06,0.017067
-4.76e-06,0.017067
-4.75e-06,-0.017067
-4.74e-06,0.0
-4.7300000000000005e-06,-0.034134
-4.7200000000000005e-06,-0.034134
-4.710000000000001e-06,0.0
-4.700000000000001e-06,0.017067
-4.690000000000001e-06,0.0
-4.68e-06,0.0
-4.67e-06,-0.017067
-4.66e-06,-0.017067
-4.65e-06,0.0
-4.6400000000000005e-06,0.0
-4.6300000000000006e-06,0.017067
-4.620000000000001e-06,0.0
-4.610000000000001e-06,-0.017067
-4.6e-06,-0.034134
-4.59e-06,0.0
-4.58e-06,0.0
-4.57e-06,0.017067
-4.56e-06,0.0
-4.5500000000000005e-06,-0.017067
-4.540000000000001e-06,-0.017067
-4.530000000000001e-06,-0.017067
-4.520000000000001e-06,-0.017067
-4.510000000000001e-06,0.0
-4.5e-06,0.0
-4.49e-06,-0.017067
-4.48e-06,0.0
-4.47e-06,-0.017067
-4.4600000000000005e-06,-0.017067
-4.450000000000001e-06,0.0
-4.440000000000001e-06,0.017067
-4.43e-06,0.0
-4.42e-06,0.0
-4.41e-06,-0.017067
-4.4e-06,-0.017067
-4.39e-06,0.0
-4.38e-06,0.017067
-4.3700000000000005e-06,0.0
-4.360000000000001e-06,0.0
-4.350000000000001e-06,-0.017067
-4.340000000000001e-06,-0.034134
-4.33e-06,0.0
-4.32e-06,0.0
-4.31e-06,0.017067
-4.3e-06,0.017067
-4.2900000000000004e-06,-0.034134
-4.2800000000000005e-06,-0.034134
-4.270000000000001e-06,-0.017067
-4.260000000000001e-06,-0.017067
-4.25e-06,0.017067
-4.24e-06,0.017067
-4.23e-06,-0.017067
-4.22e-06,-0.017067
-4.21e-06,-0.051200999999999997
-4.2000000000000004e-06,-0.034134
-4.1900000000000005e-06,0.034134
-4.180000000000001e-06,0.034134
-4.170000000000001e-06,0.0
-4.160000000000001e-06,-0.017067
-4.15e-06,-0.051200999999999997
-4.14e-06,-0.051200999999999997
-4.13e-06,0.034134
-4.12e-06,0.051200999999999997
-4.1100000000000005e-06,0.034134
-4.1000000000000006e-06,0.017067
-4.090000000000001e-06,-0.11946899999999999
-4.080000000000001e-06,-0.11946899999999999
-4.07e-06,0.051200999999999997
-4.06e-06,0.068268
-4.05e-06,0.42667499999999997
-4.04e-06,0.49494299999999997
-4.03e-06,0.392541
-4.0200000000000005e-06,0.375474
-4.0100000000000006e-06,0.017067
-4.000000000000001e-06,0.0
-3.990000000000001e-06,-0.11946899999999999
-3.980000000000001e-06,-0.10240199999999999
-3.97e-06,0.034134
-3.96e-06,0.068268
