BinCenter (ps);Histo01;Histo02;Histo03;Histo04
26850;173;0;0;0
26950;181;0;0;0
27050;190;0;0;0
27150;176;0;0;0
27250;186;0;0;0
27350;191;0;0;0
27450;181;0;0;0
27550;187;0;0;0
27650;161;0;0;0
27750;168;0;0;0
27850;201;0;0;0
27950;174;0;0;0
28050;192;0;0;0
28150;180;0;0;0
28250;169;0;0;0
28350;183;0;0;0
28450;188;0;0;0
28550;178;0;0;0
28650;177;0;0;0
28750;186;0;0;0
28850;163;0;0;0
28950;170;0;0;0
29050;196;0;0;0
29150;195;0;0;0
29250;159;0;0;0
29350;196;0;0;0
29450;176;0;0;0
29550;200;0;0;0
29650;174;0;0;0
29750;172;0;0;0
29850;163;0;0;0
29950;167;0;0;0
30050;184;0;0;0
30150;178;0;0;0
30250;176;0;0;0
30350;177;0;0;0
30450;174;0;0;0
30550;177;0;0;0
30650;183;0;0;0
30750;182;0;0;0
30850;178;0;0;0
30950;170;0;0;0
31050;159;0;0;0
31150;150;0;0;0
31250;165;0;0;0
31350;150;0;0;0
31450;162;0;0;0
31550;174;0;0;0
31650;185;0;0;0
31750;166;0;0;0
31850;167;0;0;0
31950;167;0;0;0
32050;173;0;0;0
32150;184;0;0;0
32250;162;0;0;0
32350;213;0;0;0
32450;177;0;0;0
32550;157;0;0;0
32650;181;0;0;0
32750;181;0;0;0
32850;169;0;0;0
32950;183;0;0;0
33050;184;0;0;0
33150;162;0;0;0
33250;196;0;0;0
33350;176;0;0;0
33450;177;0;0;0
33550;159;0;0;0
33650;204;0;0;0
33750;175;0;0;0
33850;193;0;0;0
33950;158;0;0;0
34050;198;0;0;0
34150;166;0;0;0
34250;171;0;0;0
34350;174;0;0;0
34450;191;0;0;0
34550;164;0;0;0
34650;175;0;0;0
34750;182;0;0;0
34850;200;0;0;0
34950;157;0;0;0
35050;175;0;0;0
35150;190;0;0;0
35250;181;0;0;0
35350;206;0;0;0
35450;175;0;0;0
35550;171;0;0;0
35650;177;0;0;0
35750;174;0;0;0
35850;211;0;0;0
35950;212;0;0;0
36050;217;0;0;0
36150;180;0;0;0
36250;191;0;0;0
36350;196;0;0;0
36450;177;0;0;0
36550;176;0;0;0
36650;198;0;0;0
36750;204;0;0;0
36850;213;0;0;0
36950;246;0;0;0
37050;307;0;0;0
37150;495;0;0;0
37250;964;0;0;0
37350;2039;0;0;0
37450;3924;0;0;0
37550;5813;0;0;0
37650;6267;0;0;0
37750;4505;0;0;0
37850;2495;0;0;0
37950;1144;0;0;0
38050;523;0;0;0
38150;321;0;0;0
38250;232;0;0;0
38350;209;0;0;0
38450;211;0;0;0
38550;173;0;0;0
38650;175;0;0;0
38750;196;0;0;0
38850;191;0;0;0
38950;167;0;0;0
39050;172;0;0;0
39150;199;0;0;0
39250;173;0;0;0
39350;176;0;0;0
39450;179;0;0;0
39550;191;0;0;0
39650;183;0;0;0
39750;181;0;0;0
39850;191;0;0;0
