BinCenter (ps);Histo01;Histo02;Histo03;Histo04
29850;160;0;0;0
29950;147;0;0;0
30050;162;0;0;0
30150;130;0;0;0
30250;135;0;0;0
30350;156;0;0;0
30450;148;0;0;0
30550;161;0;0;0
30650;165;0;0;0
30750;157;0;0;0
30850;175;0;0;0
30950;178;0;0;0
31050;154;0;0;0
31150;151;0;0;0
31250;146;0;0;0
31350;154;0;0;0
31450;134;0;0;0
31550;155;0;0;0
31650;145;0;0;0
31750;143;0;0;0
31850;157;0;0;0
31950;140;0;0;0
32050;130;0;0;0
32150;177;0;0;0
32250;134;0;0;0
32350;143;0;0;0
32450;142;0;0;0
32550;147;0;0;0
32650;164;0;0;0
32750;147;0;0;0
32850;143;0;0;0
32950;115;0;0;0
33050;127;0;0;0
33150;151;0;0;0
33250;148;0;0;0
33350;144;0;0;0
33450;146;0;0;0
33550;125;0;0;0
33650;144;0;0;0
33750;181;0;0;0
33850;160;0;0;0
33950;134;0;0;0
34050;120;0;0;0
34150;168;0;0;0
34250;128;0;0;0
34350;150;0;0;0
34450;152;0;0;0
34550;130;0;0;0
34650;158;0;0;0
34750;146;0;0;0
34850;168;0;0;0
34950;151;0;0;0
35050;169;0;0;0
35150;150;0;0;0
35250;139;0;0;0
35350;134;0;0;0
35450;143;0;0;0
35550;123;0;0;0
35650;131;0;0;0
35750;162;0;0;0
35850;130;0;0;0
35950;141;0;0;0
36050;139;0;0;0
36150;140;0;0;0
36250;129;0;0;0
36350;128;0;0;0
36450;141;0;0;0
36550;148;0;0;0
36650;135;0;0;0
36750;157;0;0;0
36850;142;0;0;0
36950;158;0;0;0
37050;161;0;0;0
37150;161;0;0;0
37250;142;0;0;0
37350;140;0;0;0
37450;148;0;0;0
37550;162;0;0;0
37650;143;0;0;0
37750;140;0;0;0
37850;140;0;0;0
37950;141;0;0;0
38050;149;0;0;0
38150;126;0;0;0
38250;123;0;0;0
38350;116;0;0;0
38450;165;0;0;0
38550;145;0;0;0
38650;142;0;0;0
38750;159;0;0;0
38850;137;0;0;0
38950;149;0;0;0
39050;170;0;0;0
39150;160;0;0;0
39250;185;0;0;0
39350;181;0;0;0
39450;236;0;0;0
39550;379;0;0;0
39650;707;0;0;0
39750;2018;0;0;0
39850;4671;0;0;0
39950;9141;0;0;0
40050;12380;0;0;0
40150;12026;0;0;0
40250;8038;0;0;0
40350;4158;0;0;0
40450;1791;0;0;0
40550;818;0;0;0
40650;384;0;0;0
40750;257;0;0;0
40850;198;0;0;0
40950;187;0;0;0
41050;176;0;0;0
41150;151;0;0;0
41250;134;0;0;0
41350;144;0;0;0
41450;134;0;0;0
41550;154;0;0;0
41650;161;0;0;0
41750;139;0;0;0
41850;125;0;0;0
41950;120;0;0;0
42050;138;0;0;0
42150;153;0;0;0
42250;140;0;0;0
42350;158;0;0;0
42450;132;0;0;0
42550;178;0;0;0
42650;146;0;0;0
42750;141;0;0;0
42850;146;0;0;0
42950;158;0;0;0
43050;148;0;0;0
43150;126;0;0;0
43250;149;0;0;0
43350;135;0;0;0
43450;150;0;0;0
43550;151;0;0;0
43650;144;0;0;0
43750;134;0;0;0
43850;168;0;0;0
43950;136;0;0;0
44050;159;0;0;0
44150;160;0;0;0
44250;134;0;0;0
44350;152;0;0;0
44450;123;0;0;0
44550;147;0;0;0
44650;152;0;0;0
44750;133;0;0;0
44850;130;0;0;0
44950;159;0;0;0
45050;143;0;0;0
45150;125;0;0;0
45250;157;0;0;0
45350;161;0;0;0
45450;152;0;0;0
45550;153;0;0;0
45650;137;0;0;0
45750;143;0;0;0
45850;139;0;0;0
45950;138;0;0;0
46050;142;0;0;0
46150;125;0;0;0
46250;140;0;0;0
46350;120;0;0;0
46450;115;0;0;0
46550;149;0;0;0
46650;159;0;0;0
46750;155;0;0;0
46850;126;0;0;0
46950;147;0;0;0
47050;148;0;0;0
47150;138;0;0;0
47250;139;0;0;0
47350;145;0;0;0
47450;126;0;0;0
47550;138;0;0;0
47650;142;0;0;0
47750;154;0;0;0
47850;146;0;0;0
47950;141;0;0;0
48050;136;0;0;0
48150;147;0;0;0
48250;149;0;0;0
48350;151;0;0;0
48450;145;0;0;0
48550;159;0;0;0
48650;142;0;0;0
48750;164;0;0;0
48850;150;0;0;0
48950;158;0;0;0
49050;154;0;0;0
49150;179;0;0;0
49250;162;0;0;0
49350;120;0;0;0
49450;162;0;0;0
49550;161;0;0;0
49650;151;0;0;0
49750;143;0;0;0
49850;148;0;0;0
49950;138;0;0;0
