BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;235660;83555;83555;0
150;259555;83322;83322;0
250;190771;83281;83281;0
350;97043;83825;83825;0
450;39834;84209;84209;0
550;14804;84727;84727;0
650;5686;84332;84332;0
750;2520;83812;83812;0
850;1276;83943;83943;0
950;810;83510;83510;0
1050;598;82998;82998;0
1150;474;83778;83778;0
1250;390;83354;83354;0
1350;327;83991;83991;0
1450;337;83368;83368;0
1550;271;83540;83540;0
1650;239;83318;83318;0
1750;252;83608;83608;0
1850;241;83394;83394;0
1950;249;82736;82736;0
2050;207;83302;83302;0
2150;225;83422;83422;0
2250;195;83209;83209;0
2350;204;83442;83442;0
2450;198;83628;83628;0
2550;205;83222;83222;0
2650;194;82283;82283;0
2750;203;82748;82748;0
2850;209;82356;82356;0
2950;191;83055;83055;0
3050;203;82317;82317;0
3150;211;82180;82180;0
3250;210;82071;82071;0
3350;203;81904;81904;0
3450;213;81545;81545;0
3550;195;81865;81865;0
3650;213;81669;81669;0
3750;171;81638;81638;0
3850;193;81599;81599;0
3950;192;81738;81738;0
4050;193;81765;81765;0
4150;211;82176;82176;0
4250;190;81157;81157;0
4350;204;81567;81567;0
4450;207;83392;83392;0
4550;215;96288;96288;0
4650;225;150837;150837;0
4750;204;317536;317536;0
4850;211;667512;667512;0
4950;190;1175714;1175714;0
5050;183;1619040;1619040;0
5150;193;1770938;1770938;0
5250;183;1591429;1591429;0
5350;220;1252991;1252991;0
5450;193;944775;944775;0
5550;190;739795;739795;0
5650;188;634122;634122;0
5750;197;605870;605870;0
5850;226;644627;644627;0
5950;182;727795;727795;0
6050;197;779075;779075;0
6150;184;734784;734784;0
6250;202;610979;610979;0
6350;215;478221;478221;0
6450;205;398403;398403;0
6550;187;395677;395677;0
6650;200;459471;459471;0
6750;201;537305;537305;0
6850;228;570064;570064;0
6950;200;608163;608163;0
7050;198;764743;764743;0
7150;188;1122263;1122263;0
7250;229;1632599;1632599;0
7350;197;2097085;2097085;0
7450;201;2273295;2273295;0
7550;178;2031667;2031667;0
7650;185;1391430;1391430;0
7750;200;735324;735324;0
7850;186;345915;345915;0
7950;193;182203;182203;0
8050;191;121102;121102;0
8150;178;98906;98906;0
8250;205;90332;90332;0
8350;213;85074;85074;0
8450;156;81510;81510;0
8550;191;78235;78235;0
8650;176;74495;74495;0
8750;222;71184;71184;0
8850;214;68232;68232;0
8950;219;67025;67025;0
9050;186;65800;65800;0
9150;219;64881;64881;0
9250;226;63701;63701;0
9350;237;62917;62917;0
9450;265;60767;60767;0
9550;324;57237;57237;0
9650;496;53581;53581;0
9750;893;50013;50013;0
9850;1890;45886;45886;0
9950;3510;41913;41913;0
10050;5306;38769;38769;0
10150;5599;35758;35758;0
10250;4371;33735;33735;0
10350;2466;31166;31166;0
10450;1077;28943;28943;0
10550;570;26541;26541;0
10650;361;23573;23573;0
10750;257;21303;21303;0
10850;263;19423;19423;0
10950;223;18569;18569;0
11050;222;17881;17881;0
11150;226;17373;17373;0
11250;215;16511;16511;0
11350;206;15396;15396;0
11450;211;13806;13806;0
11550;187;11669;11669;0
11650;183;10060;10060;0
11750;195;8934;8934;0
11850;208;7876;7876;0
11950;213;7226;7226;0
12050;177;6365;6365;0
12150;198;5146;5146;0
12250;196;3677;3677;0
12350;208;2211;2211;0
12450;204;977;977;0
12550;208;311;311;0
12650;192;74;74;0
12750;210;18;18;0
12850;197;3;3;0
12950;187;2;2;0
13050;227;0;0;0
13150;215;1;1;0
13250;184;0;0;0
13350;201;0;0;0
13450;202;0;0;0
13550;208;0;0;0
13650;197;0;0;0
13750;195;1;1;0
13850;196;0;0;0
13950;182;0;0;0
14050;201;0;0;0
14150;183;0;0;0
14250;189;0;0;0
14350;199;0;0;0
14450;205;0;0;0
14550;192;0;0;0
14650;222;0;0;0
14750;212;0;0;0
14850;192;0;0;0
14950;196;0;0;0
15050;173;1;1;0
15150;218;0;0;0
15250;183;0;0;0
15350;201;0;0;0
15450;205;1;1;0
15550;194;0;0;0
15650;179;0;0;0
15750;195;0;0;0
15850;213;0;0;0
15950;213;0;0;0
16050;218;0;0;0
16150;177;1;1;0
16250;212;0;0;0
16350;194;1;1;0
16450;182;2;2;0
16550;213;1;1;0
16650;210;0;0;0
16750;214;0;0;0
16850;217;0;0;0
16950;229;0;0;0
17050;189;0;0;0
17150;234;2;2;0
17250;184;4;4;0
17350;207;3;3;0
17450;201;4;4;0
17550;200;2;2;0
17650;197;0;0;0
17750;185;0;0;0
17850;214;0;0;0
17950;180;0;0;0
18050;163;0;0;0
18150;201;0;0;0
18250;195;0;0;0
18350;192;0;0;0
18450;226;0;0;0
18550;208;0;0;0
18650;199;0;0;0
18750;215;0;0;0
18850;190;0;0;0
18950;213;0;0;0
19050;201;0;0;0
19150;220;0;0;0
19250;229;1;1;0
19350;231;0;0;0
19450;263;0;0;0
19550;309;0;0;0
19650;507;0;0;0
19750;992;0;0;0
19850;1814;0;0;0
19950;3474;0;0;0
20050;5152;0;0;0
20150;5520;0;0;0
20250;4369;0;0;0
20350;2484;0;0;0
20450;1131;0;0;0
20550;588;0;0;0
20650;342;0;0;0
20750;262;0;0;0
20850;238;0;0;0
20950;234;0;0;0
21050;232;0;0;0
21150;209;0;0;0
21250;208;0;0;0
21350;202;0;0;0
21450;203;0;0;0
21550;202;0;0;0
21650;218;0;0;0
21750;178;0;0;0
21850;162;0;0;0
21950;204;0;0;0
22050;198;0;0;0
22150;200;0;0;0
22250;165;0;0;0
22350;199;0;0;0
22450;190;0;0;0
22550;217;0;0;0
22650;215;0;0;0
22750;186;0;0;0
22850;217;0;0;0
22950;217;0;0;0
23050;215;0;0;0
23150;196;0;0;0
23250;189;0;0;0
23350;218;0;0;0
23450;205;0;0;0
23550;214;0;0;0
23650;178;0;0;0
23750;192;0;0;0
23850;208;0;0;0
23950;214;0;0;0
24050;206;0;0;0
24150;219;0;0;0
24250;215;0;0;0
24350;187;0;0;0
24450;185;0;0;0
24550;186;0;0;0
24650;196;0;0;0
24750;185;0;0;0
24850;200;0;0;0
24950;195;0;0;0
25050;187;0;0;0
25150;204;0;0;0
25250;205;0;0;0
25350;206;0;0;0
25450;183;0;0;0
25550;183;0;0;0
25650;191;0;0;0
25750;180;0;0;0
25850;202;0;0;0
25950;198;0;0;0
26050;197;0;0;0
26150;193;0;0;0
26250;184;0;0;0
26350;204;0;0;0
26450;174;0;0;0
26550;200;0;0;0
26650;203;0;0;0
26750;176;0;0;0
26850;216;0;0;0
26950;185;0;0;0
27050;166;0;0;0
27150;197;0;0;0
27250;212;0;0;0
27350;189;0;0;0
27450;220;0;0;0
27550;197;0;0;0
27650;208;0;0;0
27750;170;0;0;0
27850;201;0;0;0
27950;211;0;0;0
28050;204;0;0;0
28150;206;0;0;0
28250;179;0;0;0
28350;185;0;0;0
28450;212;0;0;0
28550;204;0;0;0
28650;187;0;0;0
28750;215;0;0;0
28850;220;0;0;0
28950;200;0;0;0
29050;212;0;0;0
29150;218;0;0;0
29250;230;0;0;0
29350;229;0;0;0
29450;281;0;0;0
29550;316;0;0;0
29650;484;0;0;0
29750;879;0;0;0
29850;1841;0;0;0
29950;3506;0;0;0
30050;5317;0;0;0
30150;5611;0;0;0
30250;4317;0;0;0
30350;2432;0;0;0
30450;1121;0;0;0
30550;574;0;0;0
30650;344;0;0;0
30750;286;0;0;0
30850;222;0;0;0
30950;230;0;0;0
31050;220;0;0;0
31150;228;0;0;0
31250;195;0;0;0
31350;171;0;0;0
31450;214;0;0;0
31550;214;0;0;0
31650;210;0;0;0
31750;190;0;0;0
31850;223;0;0;0
31950;214;0;0;0
32050;203;0;0;0
32150;166;0;0;0
32250;210;0;0;0
32350;207;0;0;0
32450;196;0;0;0
32550;195;0;0;0
32650;202;0;0;0
32750;190;0;0;0
32850;192;0;0;0
32950;178;0;0;0
33050;202;0;0;0
33150;217;0;0;0
33250;210;0;0;0
33350;201;0;0;0
33450;193;0;0;0
33550;192;0;0;0
33650;203;0;0;0
33750;216;0;0;0
33850;223;0;0;0
33950;186;0;0;0
34050;227;0;0;0
34150;211;0;0;0
34250;203;0;0;0
34350;208;0;0;0
34450;203;0;0;0
34550;192;0;0;0
34650;214;0;0;0
34750;193;0;0;0
34850;207;0;0;0
34950;188;0;0;0
35050;221;0;0;0
35150;200;0;0;0
35250;181;0;0;0
35350;183;0;0;0
35450;200;0;0;0
35550;189;0;0;0
35650;187;0;0;0
35750;196;0;0;0
35850;196;0;0;0
35950;199;0;0;0
36050;198;0;0;0
36150;219;0;0;0
36250;206;0;0;0
36350;183;0;0;0
36450;192;0;0;0
36550;196;0;0;0
36650;187;0;0;0
36750;210;0;0;0
36850;188;0;0;0
36950;207;0;0;0
37050;209;0;0;0
37150;206;0;0;0
37250;200;0;0;0
37350;164;0;0;0
37450;200;0;0;0
37550;211;0;0;0
37650;207;0;0;0
37750;169;0;0;0
37850;207;0;0;0
37950;198;0;0;0
38050;191;0;0;0
38150;172;0;0;0
38250;191;0;0;0
38350;198;0;0;0
38450;211;0;0;0
38550;190;0;0;0
38650;219;0;0;0
38750;197;0;0;0
38850;217;0;0;0
38950;209;0;0;0
39050;201;0;0;0
39150;251;0;0;0
39250;233;0;0;0
39350;209;0;0;0
39450;282;0;0;0
39550;305;0;0;0
39650;497;0;0;0
39750;842;0;0;0
39850;1818;0;0;0
39950;3400;0;0;0
40050;5305;0;0;0
40150;5465;0;0;0
40250;4224;0;0;0
40350;2384;0;0;0
40450;1163;0;0;0
40550;561;0;0;0
40650;352;0;0;0
40750;271;0;0;0
40850;260;0;0;0
40950;217;0;0;0
41050;218;0;0;0
41150;238;0;0;0
41250;217;0;0;0
41350;228;0;0;0
41450;184;0;0;0
41550;210;0;0;0
41650;202;0;0;0
41750;202;0;0;0
41850;202;0;0;0
41950;176;0;0;0
42050;202;0;0;0
42150;189;0;0;0
42250;222;0;0;0
42350;212;0;0;0
42450;203;0;0;0
42550;196;0;0;0
42650;188;0;0;0
42750;181;0;0;0
42850;189;0;0;0
42950;193;0;0;0
43050;185;0;0;0
43150;225;0;0;0
43250;215;0;0;0
43350;206;0;0;0
43450;169;0;0;0
43550;191;0;0;0
43650;202;0;0;0
43750;200;0;0;0
43850;195;0;0;0
43950;182;0;0;0
44050;193;0;0;0
44150;207;0;0;0
44250;186;0;0;0
44350;209;0;0;0
44450;208;0;0;0
44550;185;0;0;0
44650;192;0;0;0
44750;188;0;0;0
44850;211;0;0;0
44950;204;0;0;0
45050;233;0;0;0
45150;185;0;0;0
45250;197;0;0;0
45350;207;0;0;0
45450;211;0;0;0
45550;200;0;0;0
45650;204;0;0;0
45750;180;0;0;0
45850;197;0;0;0
45950;238;0;0;0
46050;217;0;0;0
46150;202;0;0;0
46250;214;0;0;0
46350;194;0;0;0
46450;203;0;0;0
46550;200;0;0;0
46650;188;0;0;0
46750;186;0;0;0
46850;204;0;0;0
46950;195;0;0;0
47050;182;0;0;0
47150;203;0;0;0
47250;198;0;0;0
47350;196;0;0;0
47450;206;0;0;0
47550;204;0;0;0
47650;198;0;0;0
47750;211;0;0;0
47850;219;0;0;0
47950;203;0;0;0
48050;191;0;0;0
48150;186;0;0;0
48250;188;0;0;0
48350;195;0;0;0
48450;218;0;0;0
48550;202;0;0;0
48650;215;0;0;0
48750;200;0;0;0
48850;189;0;0;0
48950;206;0;0;0
49050;218;0;0;0
49150;224;0;0;0
49250;228;0;0;0
49350;220;0;0;0
49450;256;0;0;0
49550;313;0;0;0
49650;476;0;0;0
49750;910;0;0;0
49850;1829;0;0;0
49950;3349;0;0;0
