BinCenter (ps);Histo01;Histo02;Histo03;Histo04
29350;36;0;0;0
29450;25;0;0;0
29550;23;0;0;0
29650;25;0;0;0
29750;24;0;0;0
29850;26;0;0;0
29950;21;0;0;0
30050;17;0;0;0
30150;25;0;0;0
30250;31;0;0;0
30350;30;0;0;0
30450;33;0;0;0
30550;20;0;0;0
30650;31;0;0;0
30750;29;0;0;0
30850;23;0;0;0
30950;38;0;0;0
31050;25;0;0;0
31150;28;0;0;0
31250;26;0;0;0
31350;24;0;0;0
31450;24;0;0;0
31550;29;0;0;0
31650;22;0;0;0
31750;22;0;0;0
31850;23;0;0;0
31950;23;0;0;0
32050;21;0;0;0
32150;21;0;0;0
32250;17;0;0;0
32350;18;0;0;0
32450;26;0;0;0
32550;19;0;0;0
32650;22;0;0;0
32750;26;0;0;0
32850;27;0;0;0
32950;20;0;0;0
33050;29;0;0;0
33150;24;0;0;0
33250;18;0;0;0
33350;22;0;0;0
33450;11;0;0;0
33550;30;0;0;0
33650;20;0;0;0
33750;30;0;0;0
33850;21;0;0;0
33950;20;0;0;0
34050;21;0;0;0
34150;21;0;0;0
34250;20;0;0;0
34350;22;0;0;0
34450;24;0;0;0
34550;18;0;0;0
34650;20;0;0;0
34750;24;0;0;0
34850;19;0;0;0
34950;26;0;0;0
35050;28;0;0;0
35150;24;0;0;0
35250;16;0;0;0
35350;28;0;0;0
35450;23;0;0;0
35550;25;0;0;0
35650;25;0;0;0
35750;14;0;0;0
35850;26;0;0;0
35950;22;0;0;0
36050;25;0;0;0
36150;17;0;0;0
36250;18;0;0;0
36350;20;0;0;0
36450;19;0;0;0
36550;35;0;0;0
36650;19;0;0;0
36750;23;0;0;0
36850;22;0;0;0
36950;24;0;0;0
37050;18;0;0;0
37150;25;0;0;0
37250;26;0;0;0
37350;32;0;0;0
37450;12;0;0;0
37550;21;0;0;0
37650;20;0;0;0
37750;26;0;0;0
37850;26;0;0;0
37950;21;0;0;0
38050;18;0;0;0
38150;18;0;0;0
38250;26;0;0;0
38350;24;0;0;0
38450;31;0;0;0
38550;22;0;0;0
38650;28;0;0;0
38750;25;0;0;0
38850;20;0;0;0
38950;38;0;0;0
39050;43;0;0;0
39150;42;0;0;0
39250;54;0;0;0
39350;65;0;0;0
39450;88;0;0;0
39550;156;0;0;0
39650;377;0;0;0
39750;894;0;0;0
39850;1949;0;0;0
39950;3841;0;0;0
40050;5330;0;0;0
40150;5416;0;0;0
40250;3897;0;0;0
40350;2078;0;0;0
40450;938;0;0;0
40550;404;0;0;0
40650;193;0;0;0
40750;109;0;0;0
40850;68;0;0;0
40950;66;0;0;0
41050;37;0;0;0
41150;22;0;0;0
41250;23;0;0;0
41350;32;0;0;0
41450;20;0;0;0
41550;25;0;0;0
41650;22;0;0;0
41750;31;0;0;0
41850;16;0;0;0
41950;16;0;0;0
42050;20;0;0;0
42150;27;0;0;0
42250;15;0;0;0
42350;18;0;0;0
42450;22;0;0;0
42550;19;0;0;0
42650;30;0;0;0
42750;22;0;0;0
42850;24;0;0;0
42950;24;0;0;0
43050;17;0;0;0
43150;19;0;0;0
43250;16;0;0;0
43350;29;0;0;0
43450;28;0;0;0
43550;19;0;0;0
43650;23;0;0;0
43750;20;0;0;0
43850;27;0;0;0
43950;23;0;0;0
44050;22;0;0;0
44150;20;0;0;0
44250;31;0;0;0
44350;24;0;0;0
44450;17;0;0;0
44550;23;0;0;0
44650;23;0;0;0
44750;24;0;0;0
44850;23;0;0;0
44950;29;0;0;0
45050;23;0;0;0
45150;17;0;0;0
45250;17;0;0;0
45350;17;0;0;0
45450;24;0;0;0
45550;21;0;0;0
45650;24;0;0;0
45750;21;0;0;0
45850;22;0;0;0
45950;19;0;0;0
46050;20;0;0;0
46150;23;0;0;0
46250;29;0;0;0
46350;19;0;0;0
46450;26;0;0;0
46550;22;0;0;0
46650;24;0;0;0
46750;17;0;0;0
46850;25;0;0;0
46950;25;0;0;0
47050;23;0;0;0
47150;21;0;0;0
47250;17;0;0;0
47350;30;0;0;0
47450;29;0;0;0
47550;18;0;0;0
47650;28;0;0;0
47750;19;0;0;0
47850;29;0;0;0
47950;29;0;0;0
48050;24;0;0;0
48150;16;0;0;0
48250;10;0;0;0
48350;14;0;0;0
48450;23;0;0;0
48550;31;0;0;0
48650;15;0;0;0
48750;28;0;0;0
48850;24;0;0;0
48950;26;0;0;0
49050;33;0;0;0
49150;31;0;0;0
49250;19;0;0;0
49350;24;0;0;0
49450;25;0;0;0
49550;21;0;0;0
49650;34;0;0;0
49750;19;0;0;0
49850;13;0;0;0
49950;22;0;0;0
