BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;286343;64323;64323;0
150;243167;63821;63821;0
250;142983;63961;63961;0
350;61812;64292;64292;0
450;23264;65060;65060;0
550;8251;65435;65435;0
650;3201;64847;64847;0
750;1384;65473;65473;0
850;777;65627;65627;0
950;489;66295;66295;0
1050;430;67432;67432;0
1150;318;68107;68107;0
1250;300;68981;68981;0
1350;277;70044;70044;0
1450;267;71718;71718;0
1550;229;72136;72136;0
1650;222;71895;71895;0
1750;203;73118;73118;0
1850;224;72048;72048;0
1950;190;72528;72528;0
2050;201;71997;71997;0
2150;202;71309;71309;0
2250;177;71300;71300;0
2350;190;71863;71863;0
2450;188;72189;72189;0
2550;176;72683;72683;0
2650;192;72714;72714;0
2750;202;72507;72507;0
2850;191;73537;73537;0
2950;175;73500;73500;0
3050;181;73754;73754;0
3150;184;73181;73181;0
3250;170;73099;73099;0
3350;203;72240;72240;0
3450;170;71599;71599;0
3550;190;70650;70650;0
3650;161;70777;70777;0
3750;199;70424;70424;0
3850;187;69747;69747;0
3950;196;70146;70146;0
4050;186;69164;69164;0
4150;184;68823;68823;0
4250;190;69455;69455;0
4350;157;69963;69963;0
4450;177;69055;69055;0
4550;175;69059;69059;0
4650;188;69299;69299;0
4750;172;70151;70151;0
4850;181;70161;70161;0
4950;197;70462;70462;0
5050;174;70282;70282;0
5150;194;69095;69095;0
5250;204;68260;68260;0
5350;194;67989;67989;0
5450;193;68785;68785;0
5550;182;69004;69004;0
5650;176;69013;69013;0
5750;176;69725;69725;0
5850;206;70186;70186;0
5950;175;70468;70468;0
6050;187;70552;70552;0
6150;192;69957;69957;0
6250;215;69475;69475;0
6350;202;68470;68470;0
6450;192;68193;68193;0
6550;176;68540;68540;0
6650;193;69303;69303;0
6750;189;70048;70048;0
6850;172;70769;70769;0
6950;174;70467;70467;0
7050;183;70141;70141;0
7150;202;69903;69903;0
7250;170;69970;69970;0
7350;166;70272;70272;0
7450;206;69594;69594;0
