run,started_at_local,filename
calibration,2026-03-11T11:15:46+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_111546__calibration.csv
01,2026-03-11T11:34:40+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_113440__run-01.csv
02,2026-03-11T11:52:44+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_115244__run-02.csv
03,2026-03-11T12:11:12+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_121112__run-03.csv
04,2026-03-11T12:29:57+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_122957__run-04.csv
05,2026-03-11T12:48:50+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_124850__run-05.csv
06,2026-03-11T13:07:44+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_130744__run-06.csv
07,2026-03-11T13:25:54+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_132554__run-07.csv
08,2026-03-11T13:44:11+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_134411__run-08.csv
09,2026-03-11T14:02:24+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_140224__run-09.csv
10,2026-03-11T14:20:18+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_142018__run-10.csv
11,2026-03-11T14:38:03+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_143803__run-11.csv
12,2026-03-11T14:56:05+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_145605__run-12.csv
13,2026-03-11T15:14:19+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_151419__run-13.csv
14,2026-03-11T15:32:26+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_153226__run-14.csv
15,2026-03-11T15:50:40+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_155040__run-15.csv
16,2026-03-11T16:08:52+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_160852__run-16.csv
17,2026-03-11T16:27:05+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_162705__run-17.csv
18,2026-03-11T16:45:18+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_164518__run-18.csv
19,2026-03-11T17:03:26+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260311_170326__run-19.csv
