run_id,timestamp,attenuation_dB,csv_file,log_file,note
20260706_101505,20260706_101505,-30.0,att_-30p00dB_run_20260706_101505.csv,att_-30p00dB_run_20260706_101505.log,"dark-count/background check, 2 us delay condition"
20260706_101623,20260706_101623,-28.0,att_-28p00dB_run_20260706_101623.csv,att_-28p00dB_run_20260706_101623.log,"dark-count/background check, 2 us delay condition"
20260706_101753,20260706_101753,-26.0,att_-26p00dB_run_20260706_101753.csv,att_-26p00dB_run_20260706_101753.log,"dark-count/background check, 2 us delay condition"
20260706_101917,20260706_101917,-24.0,att_-24p00dB_run_20260706_101917.csv,att_-24p00dB_run_20260706_101917.log,"dark-count/background check, 2 us delay condition"
20260706_102041,20260706_102041,-22.0,att_-22p00dB_run_20260706_102041.csv,att_-22p00dB_run_20260706_102041.log,"dark-count/background check, 2 us delay condition"
20260706_102157,20260706_102157,-20.0,att_-20p00dB_run_20260706_102157.csv,att_-20p00dB_run_20260706_102157.log,"dark-count/background check, 2 us delay condition"
20260706_102324,20260706_102324,-18.0,att_-18p00dB_run_20260706_102324.csv,att_-18p00dB_run_20260706_102324.log,"dark-count/background check, 2 us delay condition"
20260706_102448,20260706_102448,-16.0,att_-16p00dB_run_20260706_102448.csv,att_-16p00dB_run_20260706_102448.log,"dark-count/background check, 2 us delay condition"
20260706_102618,20260706_102618,-14.0,att_-14p00dB_run_20260706_102618.csv,att_-14p00dB_run_20260706_102618.log,"dark-count/background check, 2 us delay condition"
20260706_102732,20260706_102732,-12.0,att_-12p00dB_run_20260706_102732.csv,att_-12p00dB_run_20260706_102732.log,"dark-count/background check, 2 us delay condition"
20260706_102858,20260706_102858,-10.0,att_-10p00dB_run_20260706_102858.csv,att_-10p00dB_run_20260706_102858.log,"dark-count/background check, 2 us delay condition"
20260706_103032,20260706_103032,-8.0,att_-8p00dB_run_20260706_103032.csv,att_-8p00dB_run_20260706_103032.log,"dark-count/background check, 2 us delay condition"
20260706_103202,20260706_103202,-6.0,att_-6p00dB_run_20260706_103202.csv,att_-6p00dB_run_20260706_103202.log,"dark-count/background check, 2 us delay condition"
20260706_103324,20260706_103324,-4.0,att_-4p00dB_run_20260706_103324.csv,att_-4p00dB_run_20260706_103324.log,"dark-count/background check, 2 us delay condition"
20260706_103452,20260706_103452,-2.0,att_-2p00dB_run_20260706_103452.csv,att_-2p00dB_run_20260706_103452.log,"dark-count/background check, 2 us delay condition"
20260706_103617,20260706_103617,0.0,att_0p00dB_run_20260706_103617.csv,att_0p00dB_run_20260706_103617.log,"dark-count/background check, 2 us delay condition"
