BinCenter (ps);Histo01;Histo02;Histo03;Histo04
25850;575;0;0;0
25950;519;0;0;0
26050;526;0;0;0
26150;518;0;0;0
26250;437;0;0;0
26350;473;0;0;0
26450;482;0;0;0
26550;489;0;0;0
26650;501;0;0;0
26750;485;0;0;0
26850;453;0;0;0
26950;503;0;0;0
27050;478;0;0;0
27150;449;0;0;0
27250;495;0;0;0
27350;476;0;0;0
27450;484;0;0;0
27550;475;0;0;0
27650;467;0;0;0
27750;459;0;0;0
27850;480;0;0;0
27950;474;0;0;0
28050;457;0;0;0
28150;460;0;0;0
28250;441;0;0;0
28350;480;0;0;0
28450;474;0;0;0
28550;445;0;0;0
28650;432;0;0;0
28750;481;0;0;0
28850;474;0;0;0
28950;494;0;0;0
29050;427;0;0;0
29150;469;0;0;0
29250;475;0;0;0
29350;441;0;0;0
29450;463;0;0;0
29550;482;0;0;0
29650;513;0;0;0
29750;440;0;0;0
29850;462;0;0;0
29950;489;0;0;0
30050;519;0;0;0
30150;449;0;0;0
30250;502;0;0;0
30350;462;0;0;0
30450;502;0;0;0
30550;448;0;0;0
30650;475;0;0;0
30750;441;0;0;0
30850;439;0;0;0
30950;432;0;0;0
31050;431;0;0;0
31150;466;0;0;0
31250;417;0;0;0
31350;402;0;0;0
31450;431;0;0;0
31550;484;0;0;0
31650;497;0;0;0
31750;463;0;0;0
31850;429;0;0;0
31950;455;0;0;0
32050;473;0;0;0
32150;433;0;0;0
32250;453;0;0;0
32350;450;0;0;0
32450;466;0;0;0
32550;531;0;0;0
32650;488;0;0;0
32750;477;0;0;0
32850;476;0;0;0
32950;427;0;0;0
33050;468;0;0;0
33150;450;0;0;0
33250;462;0;0;0
33350;478;0;0;0
33450;491;0;0;0
33550;436;0;0;0
33650;452;0;0;0
33750;506;0;0;0
33850;489;0;0;0
33950;447;0;0;0
34050;494;0;0;0
34150;465;0;0;0
34250;471;0;0;0
34350;504;0;0;0
34450;444;0;0;0
34550;466;0;0;0
34650;449;0;0;0
34750;461;0;0;0
34850;489;0;0;0
34950;520;0;0;0
35050;457;0;0;0
35150;471;0;0;0
35250;521;0;0;0
35350;491;0;0;0
35450;506;0;0;0
35550;471;0;0;0
35650;476;0;0;0
35750;481;0;0;0
35850;478;0;0;0
35950;477;0;0;0
36050;476;0;0;0
36150;504;0;0;0
36250;474;0;0;0
36350;449;0;0;0
36450;479;0;0;0
36550;493;0;0;0
36650;570;0;0;0
36750;545;0;0;0
36850;597;0;0;0
36950;675;0;0;0
37050;994;0;0;0
37150;1776;0;0;0
37250;3789;0;0;0
37350;8014;0;0;0
37450;13926;0;0;0
37550;18181;0;0;0
37650;16978;0;0;0
37750;11324;0;0;0
37850;5612;0;0;0
37950;2443;0;0;0
38050;1242;0;0;0
38150;739;0;0;0
38250;622;0;0;0
38350;544;0;0;0
38450;539;0;0;0
38550;510;0;0;0
38650;496;0;0;0
38750;492;0;0;0
38850;507;0;0;0
38950;460;0;0;0
39050;474;0;0;0
39150;486;0;0;0
39250;488;0;0;0
39350;471;0;0;0
39450;476;0;0;0
39550;496;0;0;0
39650;499;0;0;0
39750;494;0;0;0
39850;479;0;0;0
39950;496;0;0;0
40050;464;0;0;0
40150;459;0;0;0
40250;498;0;0;0
40350;493;0;0;0
40450;472;0;0;0
40550;485;0;0;0
40650;479;0;0;0
40750;471;0;0;0
40850;462;0;0;0
40950;483;0;0;0
41050;467;0;0;0
41150;460;0;0;0
41250;492;0;0;0
41350;458;0;0;0
41450;464;0;0;0
41550;425;0;0;0
41650;471;0;0;0
41750;444;0;0;0
41850;472;0;0;0
41950;451;0;0;0
42050;475;0;0;0
42150;446;0;0;0
42250;437;0;0;0
42350;460;0;0;0
42450;501;0;0;0
42550;482;0;0;0
42650;457;0;0;0
42750;462;0;0;0
42850;454;0;0;0
42950;468;0;0;0
43050;446;0;0;0
43150;460;0;0;0
43250;455;0;0;0
43350;471;0;0;0
43450;426;0;0;0
43550;435;0;0;0
43650;457;0;0;0
43750;448;0;0;0
43850;468;0;0;0
43950;435;0;0;0
44050;473;0;0;0
44150;457;0;0;0
44250;451;0;0;0
44350;419;0;0;0
44450;498;0;0;0
44550;446;0;0;0
44650;447;0;0;0
44750;475;0;0;0
44850;447;0;0;0
44950;464;0;0;0
45050;467;0;0;0
45150;467;0;0;0
45250;470;0;0;0
45350;464;0;0;0
45450;480;0;0;0
45550;478;0;0;0
45650;464;0;0;0
45750;463;0;0;0
45850;480;0;0;0
45950;475;0;0;0
46050;484;0;0;0
46150;473;0;0;0
46250;454;0;0;0
46350;494;0;0;0
46450;515;0;0;0
46550;455;0;0;0
46650;451;0;0;0
46750;492;0;0;0
46850;461;0;0;0
46950;443;0;0;0
47050;483;0;0;0
