time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;99964755;61524;53344;81169;0;15;430;0;373;0;0;1;0;0;0;0
2.00;99968434;61312;52904;81797;0;29;424;0;383;0;0;1;0;0;0;0
4.00;99963376;61506;53280;80925;0;14;431;0;367;0;0;0;0;0;0;0
6.00;99963135;60867;53016;80754;0;31;391;0;391;0;0;0;0;0;0;0
8.00;99968086;61455;53458;81633;0;20;416;0;379;0;0;0;0;0;0;0
10.00;99959876;61194;52815;80271;0;19;434;0;396;0;0;2;0;0;0;0
12.00;99958070;61414;53144;80013;0;18;400;0;387;0;0;0;0;0;0;0
14.00;99963345;61109;53068;80971;0;18;402;0;398;0;0;0;0;0;0;0
16.00;99963674;61565;53460;81187;0;28;423;0;357;0;0;0;0;0;0;0
18.00;99963313;60954;52955;80718;0;23;418;0;377;0;0;1;0;0;0;0
20.00;99957511;61551;53013;80119;0;21;416;0;392;0;0;0;0;0;0;0
22.00;99959684;60914;52502;79931;0;34;427;0;363;0;0;0;0;0;0;0
24.00;99963507;61419;53202;81461;0;20;430;0;408;0;0;1;0;0;0;0
26.00;99960384;61328;52801;80288;0;26;430;0;400;0;0;0;0;0;0;0
28.00;99963393;61315;53047;80949;0;22;450;0;384;0;0;1;0;0;0;0
30.00;99955395;61241;52690;78979;0;24;418;0;398;0;0;0;0;0;0;0
32.01;99965503;61469;53293;81468;0;24;400;0;400;0;0;1;0;0;0;0
34.01;99963127;60951;52405;80740;0;19;445;0;368;0;0;0;0;0;0;0
36.01;99959537;60898;53282;80416;0;22;429;0;397;0;0;0;0;0;0;0
38.01;99965335;61039;52527;80577;0;20;430;0;373;0;0;0;0;0;0;0
40.01;99958686;61527;53419;80191;0;26;432;0;420;0;0;0;0;0;0;0
42.01;99962683;61095;52846;80683;0;18;428;0;355;0;0;0;0;0;0;0
44.01;99969221;61143;52586;81643;0;20;430;0;393;0;0;0;0;0;0;0
46.01;99962767;60270;52385;80388;0;16;413;0;397;0;0;0;0;0;0;0
48.01;99951665;61202;52935;78728;0;32;407;0;342;0;0;1;0;0;0;0
50.01;99952623;60787;53124;78304;0;28;382;0;368;0;0;2;0;0;0;0
52.02;99948528;60884;52720;78271;0;12;415;0;391;0;0;0;0;0;0;0
54.02;99964800;60510;52408;80271;0;20;448;0;400;0;0;0;0;0;0;0
56.02;99956811;60994;52909;79493;0;30;395;0;357;0;0;0;0;0;0;0
58.02;99956118;60759;52978;79373;0;25;385;0;408;0;0;0;0;0;0;0
60.02;99955952;60954;52998;79006;0;28;406;0;422;0;0;0;0;0;0;0
62.02;99941941;60795;52720;76972;0;14;352;0;336;0;0;2;0;0;0;0
64.02;99947160;60779;53059;78156;0;27;428;0;406;0;0;0;0;0;0;0
66.02;99956425;60525;52444;78991;0;23;391;0;345;0;0;0;0;0;0;0
68.02;99952703;60776;52706;78418;0;22;394;0;398;0;0;0;0;0;0;0
70.02;99949807;60606;52921;77845;0;24;430;0;359;0;0;0;0;0;0;0
72.02;99951920;60568;52419;78377;0;21;381;0;362;0;0;0;0;0;0;0
74.02;99956305;60506;52732;79767;0;30;417;0;380;0;0;0;0;0;0;0
76.02;99959186;61049;52508;79445;0;21;399;0;364;0;0;3;0;0;0;0
78.02;99963566;60927;52508;80516;0;24;417;0;367;0;0;0;0;0;0;0
80.02;99965408;60906;52778;80376;0;21;441;0;416;0;0;0;0;0;0;0
82.02;99960438;60674;52855;79504;0;19;371;0;389;0;0;0;0;0;0;0
84.02;99963421;60505;52641;80108;0;19;381;0;408;0;0;0;0;0;0;0
86.02;99952823;60886;52719;78822;0;25;386;0;370;0;0;0;0;0;0;0
88.02;99945789;60883;52745;77444;0;25;426;0;364;0;0;0;0;0;0;0
