timestamp,elapsed_s,power_dBm
2026-08-18 15:43:58.407427,0.02225669999825186,-0.941099
2026-08-18 15:43:59.388480,1.0033098999992944,-0.937725
2026-08-18 15:44:00.387089,2.0019195999993826,-0.937046
2026-08-18 15:44:01.388166,3.002995599999849,-0.94409
2026-08-18 15:44:02.387091,4.0019208999983675,-0.946229
2026-08-18 15:44:03.387492,5.002316499998415,-0.944365
2026-08-18 15:44:04.387091,6.001921699997183,-0.94553
2026-08-18 15:44:05.387530,7.002360499998758,-0.947313
2026-08-18 15:44:06.387072,8.001903199998196,-0.942961
2026-08-18 15:44:07.388416,9.00324659999751,-0.945359
2026-08-18 15:44:08.387130,10.001961399997526,-0.94937
2026-08-18 15:44:09.387498,11.002328699996724,-0.945083
2026-08-18 15:44:10.387535,12.00236539999969,-0.952003
2026-08-18 15:44:11.387135,13.001966099996935,-0.945886
2026-08-18 15:44:12.387121,14.001951399997779,-0.950936
2026-08-18 15:44:13.387064,15.001895299999887,-0.951101
2026-08-18 15:44:14.387483,16.002313899996807,-0.948765
2026-08-18 15:44:15.387144,17.001974699996936,-0.945359
2026-08-18 15:44:16.388213,18.003044899996894,-0.948236
2026-08-18 15:44:17.388409,19.00323959999878,-0.952093
2026-08-18 15:44:18.387292,20.00212179999653,-0.946316
2026-08-18 15:44:19.387376,21.00220189999891,-0.953151
2026-08-18 15:44:20.387524,22.00235469999825,-0.939402
2026-08-18 15:44:21.387175,23.0020016999988,-0.944427
2026-08-18 15:44:22.387110,24.0019407999971,-0.942732
2026-08-18 15:44:23.387083,25.00191409999752,-0.941535
2026-08-18 15:44:24.388095,26.002924799999164,-0.946386
2026-08-18 15:44:25.387147,27.001977199997782,-0.938042
2026-08-18 15:44:26.387094,28.00192539999989,-0.942392
2026-08-18 15:44:27.387184,29.0020145999988,-0.94152
2026-08-18 15:44:28.387222,30.002051599996776,-0.943433
2026-08-18 15:44:29.388071,31.002902999996877,-0.944624
2026-08-18 15:44:30.387511,32.00234099999943,-0.94718
2026-08-18 15:44:31.387083,33.001912799998536,-0.944793
2026-08-18 15:44:32.387651,34.00247649999801,-0.937814
2026-08-18 15:44:33.388023,35.00285329999679,-0.93863
2026-08-18 15:44:34.387094,36.0019257999993,-0.939264
2026-08-18 15:44:35.388083,37.00291440000001,-0.940311
2026-08-18 15:44:36.387042,38.001872199998616,-0.943362
2026-08-18 15:44:37.387051,39.001882299999124,-0.941557
2026-08-18 15:44:38.387074,40.00190459999794,-0.934076
2026-08-18 15:44:39.388226,41.003055199998926,-0.937739
2026-08-18 15:44:40.387048,42.001879599996755,-0.938044
2026-08-18 15:44:41.387332,43.00216299999738,-0.934668
2026-08-18 15:44:42.388213,44.00304099999994,-0.933038
2026-08-18 15:44:43.387109,45.00193919999947,-0.93541
2026-08-18 15:44:44.387179,46.00200999999652,-0.937917
2026-08-18 15:44:45.388702,47.00352739999653,-0.935066
2026-08-18 15:44:46.387079,48.00190939999811,-0.936253
2026-08-18 15:44:47.387063,49.00189489999684,-0.93895
2026-08-18 15:44:48.387075,50.00190559999828,-0.936346
2026-08-18 15:44:49.387152,51.00198279999677,-0.940591
2026-08-18 15:44:50.387154,52.00198309999905,-0.939158
2026-08-18 15:44:51.387168,53.00199799999973,-0.939024
2026-08-18 15:44:52.387110,54.00194129999727,-0.941931
2026-08-18 15:44:53.388469,55.00329520000014,-0.942714
2026-08-18 15:44:54.388118,56.002947799999674,-0.941446
2026-08-18 15:44:55.388439,57.00326469999709,-0.943058
2026-08-18 15:44:56.387325,58.00215589999789,-0.936048
2026-08-18 15:44:57.387529,59.002360399998,-0.935391
2026-08-18 15:44:58.387573,60.00240320000012,-0.936208
2026-08-18 15:44:59.387107,61.00193769999896,-0.932742
2026-08-18 15:45:00.387070,62.00190159999693,-0.93266
2026-08-18 15:45:01.387269,63.002096999996866,-0.937022
2026-08-18 15:45:02.388102,64.0029332999984,-0.929634
2026-08-18 15:45:03.387134,65.00196359999973,-0.928348
2026-08-18 15:45:04.387079,66.00190929999735,-0.929774
2026-08-18 15:45:05.387139,67.00196999999753,-0.923356
2026-08-18 15:45:06.387154,68.00198369999998,-0.925759
2026-08-18 15:45:07.387215,69.00204129999838,-0.925732
2026-08-18 15:45:08.388323,70.00315369999953,-0.927386
2026-08-18 15:45:09.387110,71.00194089999786,-0.931374
2026-08-18 15:45:10.388458,72.0032855999998,-0.927906
2026-08-18 15:45:11.388253,73.00307909999901,-0.933134
2026-08-18 15:45:12.387103,74.00193279999803,-0.924926
2026-08-18 15:45:13.387036,75.00186749999921,-0.927082
2026-08-18 15:45:14.388346,76.00317679999716,-0.935471
2026-08-18 15:45:15.388099,77.00293019999663,-0.93358
2026-08-18 15:45:16.387036,78.00186779999785,-0.93197
2026-08-18 15:45:17.388111,79.00294159999976,-0.931832
2026-08-18 15:45:18.387039,80.00186979999853,-0.933588
2026-08-18 15:45:19.388453,81.00328429999718,-0.934477
2026-08-18 15:45:20.387254,82.00207989999763,-0.93309
2026-08-18 15:45:21.387006,83.00183749999997,-0.931865
2026-08-18 15:45:22.388188,84.00301509999917,-0.936419
2026-08-18 15:45:23.388300,85.00312639999902,-0.932091
2026-08-18 15:45:24.387136,86.00196609999693,-0.937822
2026-08-18 15:45:25.388268,87.00309310000011,-0.935785
2026-08-18 15:45:26.388394,88.00322379999852,-0.94009
